source,destination,label
539,20,False
533,75,True
350,38,False
385,39,False
559,20,False
421,65,False
556,91,False
203,209,True
136,102,False
410,97,True
531,138,True
109,104,False
189,9,False
365,94,False
257,7,False
444,24,True
440,104,True
387,98,False
81,135,False
244,82,False
44,184,False
431,139,False
201,11,True
554,106,False
125,39,False
166,101,True
459,138,False
434,97,True
342,136,False
82,15,True
257,171,False
101,61,False
547,24,True
581,46,True
295,101,False
96,100,False
158,149,False
306,11,False
370,139,True
399,97,False
406,137,True
379,138,False
340,9,False
347,11,False
397,97,False
447,24,False
389,45,False
234,101,True
461,97,False
455,139,False
250,99,False
298,60,False
427,138,False
163,153,True
283,187,False
429,104,False
563,93,True
567,138,True
334,136,False
390,16,True
300,105,False
28,168,True
352,136,False
311,149,False
32,172,False
532,75,False
400,97,True
474,137,False
213,119,True
600,74,True
403,139,False
463,22,False
329,99,False
432,104,True
240,68,True
524,102,False
22,162,True
377,20,False
319,103,False
497,20,False
451,138,False
423,65,False
474,33,False
510,59,False
418,20,False
384,39,True
527,102,True
533,138,True
300,136,False
182,181,True
111,104,False
157,99,True
68,208,True
167,46,True
412,1,True
525,102,True
605,78,True
440,137,True
389,97,False
531,73,True
324,107,False
341,137,False
305,11,False
369,139,False
592,103,False
293,5,False
397,100,False
148,85,False
188,9,False
203,11,True
333,101,False
372,97,True
441,79,False
582,101,False
178,7,False
411,102,False
416,97,False
296,175,False
344,136,False
417,138,False
485,24,True
334,5,False
41,6,True
190,105,True
387,24,False
253,101,False
464,137,True
183,66,True
238,54,True
603,105,False
186,74,True
401,1,False
514,102,False
391,45,False
467,95,False
477,98,False
465,1,False
475,98,True
450,16,True
322,191,False
272,136,False
307,137,False
431,104,False
579,44,False
350,153,False
323,105,False
516,20,False
368,137,True
402,97,True
489,100,True
297,60,False
425,97,False
432,137,True
229,141,False
194,107,True
258,56,False
396,49,False
195,11,True
548,106,False
499,20,False
453,138,False
431,1,False
244,197,False
494,47,False
530,73,False
471,138,True
386,39,True
480,137,False
93,45,False
318,103,False
428,73,True
352,101,False
484,98,False
351,38,False
279,58,False
264,107,False
169,5,False
598,72,False
500,137,False
456,97,False
438,104,False
108,75,False
353,5,False
391,97,False
181,103,True
189,105,False
279,137,False
504,24,False
337,179,False
371,98,False
540,22,False
366,94,False
548,137,False
455,1,False
425,24,False
367,107,False
272,5,False
454,89,True
180,7,True
298,175,False
419,138,False
616,107,False
201,107,True
308,3,False
487,24,True
539,138,False
43,6,True
326,136,False
170,5,True
245,82,False
68,10,True
466,137,True
525,67,True
618,19,True
460,139,True
549,87,True
255,5,False
367,137,False
488,100,False
403,1,False
442,22,True
73,13,True
291,3,False
516,102,False
80,96,False
274,136,False
408,16,True
463,97,False
126,41,False
230,136,False
341,9,False
60,200,False
241,68,True
443,138,False
472,137,False
294,136,False
71,210,True
10,2,False
23,162,True
370,137,True
491,100,True
615,92,True
299,60,False
406,1,True
0,0,True
32,6,False
139,102,False
509,59,True
271,137,False
147,83,False
404,1,True
296,7,False
335,137,False
398,49,False
285,201,False
411,59,False
197,11,True
426,139,True
333,137,False
381,98,False
620,17,True
369,1,False
76,136,True
411,138,False
482,37,False
598,105,False
493,47,True
438,137,False
570,32,True
412,18,True
534,18,False
345,11,False
480,37,False
179,7,False
161,3,True
42,6,True
183,181,True
386,24,True
506,24,False
339,179,False
479,138,False
266,136,False
394,139,True
232,155,True
393,1,False
265,11,False
486,137,False
444,104,True
305,107,False
457,1,False
537,77,False
427,24,False
293,101,False
274,5,False
551,16,True
182,7,True
203,107,True
310,3,False
406,53,True
575,36,True
589,58,False
172,5,True
593,103,False
481,22,True
440,1,True
461,22,False
334,101,False
583,101,False
312,48,False
619,140,True
305,137,False
547,104,True
249,3,True
229,3,False
462,139,True
490,100,False
325,137,False
373,98,False
400,22,True
282,72,False
202,209,True
569,30,False
465,97,False
445,138,False
243,68,True
79,96,True
369,138,False
75,135,False
318,177,False
487,39,True
347,92,False
545,81,True
511,59,True
273,137,False
100,59,False
279,173,False
298,7,False
422,102,True
429,1,False
121,31,False
268,30,False
614,92,True
78,135,True
184,72,True
428,139,True
352,167,False
54,194,True
138,102,False
451,139,False
195,107,True
393,138,False
320,136,False
128,100,False
237,7,True
164,5,True
368,1,True
385,24,False
258,103,False
376,137,False
497,100,False
432,1,True
600,105,True
608,107,False
495,47,True
472,18,False
590,103,True
161,36,True
260,70,False
518,63,False
48,188,True
118,95,False
297,137,False
344,107,False
361,137,False
233,101,True
273,159,False
268,136,False
359,137,False
556,106,False
395,1,False
455,18,False
162,153,True
307,107,False
456,106,False
454,106,True
541,22,True
353,52,False
621,14,True
327,107,False
417,139,False
266,199,False
268,3,False
180,103,True
241,183,True
133,55,False
308,99,False
314,48,False
401,51,False
378,1,False
550,16,False
585,101,True
61,200,False
262,105,False
460,22,True
617,107,False
309,3,False
5,144,False
323,76,False
575,99,True
263,137,False
282,105,False
292,136,False
420,139,True
512,137,False
327,137,False
611,88,True
402,22,True
544,81,False
556,137,False
33,6,False
153,106,False
291,99,False
557,91,False
421,102,False
447,97,False
151,91,False
373,33,False
358,7,False
242,68,True
495,138,True
255,137,False
87,33,False
184,105,True
424,102,True
231,137,False
450,97,True
26,4,True
386,98,True
387,1,False
621,25,True
74,136,False
538,104,False
48,8,True
258,136,False
197,107,True
415,97,False
395,138,False
239,7,True
127,43,False
224,115,True
499,100,False
474,18,False
621,17,True
384,24,True
187,189,True
543,79,True
159,3,False
203,94,True
299,137,False
306,136,False
95,100,False
436,139,False
377,35,False
171,101,True
398,97,False
512,61,False
179,103,False
426,137,True
571,32,True
393,18,False
454,139,True
346,11,False
413,102,False
328,3,False
428,104,True
439,97,False
197,88,True
162,3,True
403,100,False
66,206,False
305,203,False
419,139,False
606,105,False
511,16,True
30,6,False
144,104,False
243,183,True
310,99,False
225,128,True
368,16,True
333,165,False
403,51,False
538,77,False
562,106,False
228,141,False
342,105,False
414,61,True
362,80,False
462,22,True
311,3,False
280,72,False
240,105,True
406,100,True
72,135,True
265,137,False
9,148,True
156,147,True
222,122,True
249,99,True
498,20,False
423,102,False
473,33,True
449,97,False
230,3,False
590,60,True
443,139,False
269,30,False
447,81,False
254,157,False
104,67,False
163,38,True
359,103,False
385,139,False
316,7,False
50,190,True
437,104,False
3,142,False
117,106,False
39,6,False
388,97,True
334,50,False
427,102,False
452,97,True
538,137,False
356,66,False
446,139,True
506,53,False
542,79,False
279,7,False
565,24,True
187,9,True
157,32,True
295,46,False
440,79,True
595,64,True
609,86,False
410,102,True
411,139,False
335,5,False
79,135,True
365,11,False
521,138,True
584,50,True
220,108,True
173,101,True
182,66,True
237,54,True
72,13,True
103,65,False
513,102,True
328,36,False
428,137,True
466,95,True
395,18,False
368,98,True
320,9,False
591,103,True
147,106,False
431,16,False
323,191,False
448,87,True
384,137,True
441,97,False
7,2,True
143,75,False
578,44,False
201,92,True
83,136,False
280,105,False
370,16,True
332,136,False
303,9,False
268,99,False
380,97,True
212,127,True
418,139,False
420,22,True
408,59,True
480,98,False
388,100,True
436,20,False
487,138,True
309,99,False
556,20,False
242,9,True
263,105,False
299,103,False
27,166,True
445,139,False
181,64,True
483,98,True
419,20,False
134,57,False
434,75,True
557,138,False
238,103,True
358,103,False
390,97,True
392,1,True
244,11,False
420,137,True
170,50,True
352,5,False
371,1,False
454,1,True
471,31,True
505,53,True
336,179,False
424,24,True
273,5,False
343,78,False
546,24,False
529,73,True
313,101,False
219,128,True
419,1,False
371,31,False
414,97,True
523,138,True
619,19,True
472,98,False
59,198,False
225,115,True
239,54,True
255,42,False
488,137,False
286,11,False
369,16,False
90,39,False
562,93,False
563,22,True
370,98,True
280,187,False
446,104,True
509,16,True
379,97,False
386,137,True
507,100,True
308,149,False
86,98,False
529,104,True
337,64,False
443,1,False
376,35,False
1,0,True
269,145,False
407,138,False
547,138,True
496,20,False
382,97,True
37,176,True
302,105,False
31,6,False
454,137,True
410,59,True
145,104,False
390,100,True
558,20,False
334,165,False
446,1,True
135,102,False
467,97,False
433,75,False
363,80,False
479,20,False
257,103,False
481,37,True
496,100,False
411,1,False
309,34,False
364,94,False
165,159,True
238,136,True
31,170,False
533,18,True
515,138,True
176,103,True
282,136,False
396,100,False
517,63,False
528,73,False
591,60,True
168,163,False
270,30,False
513,138,True
196,203,True
167,5,True
65,10,True
122,98,False
306,107,False
507,53,True
484,24,False
130,100,False
363,195,False
256,171,False
55,8,True
187,105,True
433,97,False
63,10,True
120,98,False
285,86,False
369,98,False
173,167,True
347,107,False
39,178,False
506,100,False
399,138,False
465,139,False
335,101,False
251,143,True
614,107,True
467,24,False
201,207,True
150,89,False
446,137,True
528,104,False
474,98,False
481,138,True
461,138,False
227,115,True
350,3,False
490,137,False
75,96,False
418,1,False
381,97,False
491,45,True
310,149,False
167,161,True
472,33,False
195,201,True
289,137,False
42,182,True
339,64,False
321,9,False
445,1,False
78,96,True
378,35,False
134,102,False
485,138,True
317,177,False
214,120,True
505,138,True
80,13,False
514,137,False
384,1,True
532,18,False
405,97,False
412,137,True
448,1,True
535,104,True
23,4,True
231,141,False
435,75,False
417,20,False
313,137,False
238,169,True
562,137,False
437,20,False
498,100,False
604,78,True
311,34,False
102,102,False
240,136,True
433,138,False
553,89,True
519,63,False
418,137,False
178,103,False
217,124,True
318,62,False
395,47,False
373,97,False
619,134,True
244,107,False
454,18,True
250,143,False
453,89,False
486,24,False
95,49,False
371,97,False
245,11,False
155,145,True
304,203,False
437,1,False
273,101,False
254,5,False
520,22,False
20,160,True
352,52,False
490,45,False
524,67,False
528,137,False
308,136,False
94,47,False
265,199,False
548,87,False
549,16,True
505,100,True
441,22,False
87,98,False
135,59,False
288,3,False
163,99,True
84,98,False
180,179,True
345,92,False
581,101,True
523,22,True
459,106,False
527,67,True
380,22,True
383,1,False
358,181,False
426,67,True
425,138,False
323,9,False
174,173,True
190,78,True
405,139,False
319,177,False
462,106,True
357,7,False
456,20,False
194,11,True
266,84,False
386,1,True
73,136,True
552,89,False
278,7,False
186,9,True
392,100,True
408,139,True
315,137,False
537,104,False
317,103,False
208,113,True
473,18,True
263,185,False
435,138,False
252,42,False
391,138,False
456,1,False
291,147,False
155,99,True
158,3,False
371,139,False
272,101,False
435,139,False
588,58,False
451,106,False
514,18,False
170,101,True
53,8,False
215,133,True
177,175,True
412,102,True
473,98,True
375,1,False
402,100,True
193,9,True
306,203,False
607,105,False
237,137,True
72,96,True
246,136,False
374,139,True
255,101,False
281,137,False
383,138,False
310,136,False
489,16,True
546,104,False
561,106,True
572,99,False
150,106,False
227,132,True
341,105,False
593,62,False
438,77,False
459,139,False
451,87,False
350,99,False
461,106,False
406,97,True
70,210,True
382,22,True
185,187,True
231,3,False
463,1,False
442,139,True
351,3,False
271,99,False
261,9,False
385,1,False
486,39,False
404,97,True
522,65,False
554,137,False
420,65,True
232,136,True
21,4,True
305,88,False
335,50,False
77,135,False
427,139,False
13,2,True
116,106,False
333,50,False
193,195,True
394,100,True
253,137,False
448,97,True
410,139,True
409,1,False
156,32,True
446,81,True
492,47,False
553,106,True
7,146,True
364,11,False
355,5,False
599,72,False
86,31,False
457,97,False
359,66,False
10,150,False
99,57,False
274,101,False
285,11,False
103,102,False
21,160,True
488,16,False
175,58,True
453,106,False
172,101,True
142,73,False
93,100,False
426,24,True
440,97,True
434,139,True
348,136,False
377,1,False
383,37,False
247,82,False
239,137,True
546,137,False
172,52,True
245,107,False
248,136,False
15,154,True
82,136,True
176,175,True
399,139,False
491,16,True
192,80,True
381,22,False
606,80,False
320,76,False
521,22,True
152,106,False
397,139,False
359,181,False
518,102,False
212,118,True
248,3,False
372,98,True
461,139,False
288,99,False
281,72,False
557,20,False
191,78,True
245,137,False
435,104,False
464,97,True
529,138,True
194,86,True
98,55,False
294,161,False
460,106,True
400,139,True
521,102,True
346,92,False
429,97,False
409,138,False
376,20,False
307,88,False
445,81,False
287,201,False
458,91,False
15,2,True
118,106,False
552,106,False
357,103,False
164,101,True
137,102,False
338,7,False
368,97,True
383,98,False
127,100,False
236,7,True
475,138,True
186,105,True
545,24,True
430,97,True
460,137,True
599,105,False
504,137,False
77,15,False
92,100,False
395,97,False
376,1,False
389,139,False
510,102,False
200,207,True
464,24,True
232,101,True
453,139,False
471,98,True
501,138,True
234,155,True
561,93,True
490,16,False
372,139,True
57,8,True
375,18,False
620,14,True
416,139,False
25,164,False
154,30,True
411,16,False
563,138,True
378,97,False
179,62,False
392,139,True
442,1,True
559,106,False
409,16,False
584,101,True
362,9,False
413,61,False
388,45,True
281,105,False
19,158,False
262,9,False
520,102,False
249,28,True
484,39,False
335,165,False
466,97,True
322,105,False
508,59,False
447,138,False
476,137,False
422,97,True
439,77,False
374,137,True
402,139,True
523,102,True
46,8,False
231,99,False
478,20,False
425,139,False
351,99,False
387,97,False
198,90,False
544,24,False
224,126,True
308,34,False
399,20,False
485,39,True
197,203,True
395,100,False
184,9,True
239,103,True
370,97,True
385,98,False
415,138,False
555,138,True
301,74,False
322,136,False
332,5,False
166,5,True
434,1,True
455,97,False
462,137,True
112,83,False
262,70,False
555,89,True
314,101,False
94,100,False
295,5,False
247,197,False
407,53,False
172,167,True
346,107,False
363,137,False
391,139,False
512,102,False
466,24,True
146,81,False
315,5,False
49,188,True
465,95,False
53,192,False
275,159,False
162,99,True
355,101,False
448,16,True
320,191,False
438,97,False
125,98,False
439,138,False
366,136,False
234,5,True
461,1,False
266,11,False
348,153,False
602,76,False
355,52,False
281,187,False
565,138,True
191,193,True
515,102,True
275,101,False
43,182,True
183,7,True
597,103,False
4,2,False
300,9,False
530,137,False
587,101,False
158,34,False
400,1,True
415,61,False
390,45,True
421,97,False
290,32,False
329,137,False
230,99,False
377,98,False
292,161,False
248,99,False
321,76,False
469,138,True
449,138,False
229,137,False
538,20,False
145,79,False
424,97,True
253,157,False
497,49,False
482,98,False
349,38,False
416,20,False
436,104,False
2,142,False
279,103,False
310,34,False
426,102,True
195,86,True
28,4,True
211,125,True
177,103,True
389,1,False
554,89,False
