source,destination
66,149
52,104
15,30
59,119
4,9
89,196
64,142
107,232
25,50
5,10
12,25
73,163
91,199
22,44
11,23
29,59
114,246
77,172
50,100
13,26
19,39
80,177
98,213
87,192
105,228
3,6
18,37
36,73
64,144
71,159
104,226
108,233
57,114
2,4
20,40
9,19
26,53
88,193
94,206
112,242
63,127
10,20
43,87
115,247
6,13
78,173
111,240
27,54
16,33
34,69
64,137
95,207
101,220
37,74
0,0
85,187
92,202
54,108
69,154
23,47
41,83
102,221
109,236
44,88
62,124
7,14
58,117
84,185
75,167
99,216
61,122
64,139
30,61
48,97
83,183
116,250
14,28
32,64
67,150
21,43
82,181
1,3
100,217
106,230
42,84
66,148
55,111
90,197
59,118
39,78
63,134
74,164
28,57
46,93
64,141
89,195
107,231
76,170
49,98
12,24
73,162
97,211
93,204
35,71
53,107
70,157
77,171
114,245
84,186
56,112
19,38
87,191
105,227
64,143
71,158
60,121
5,11
91,200
26,52
33,67
94,205
112,241
81,180
17,34
50,101
65,147
98,214
63,129
34,68
51,102
64,136
40,81
68,152
3,7
101,219
108,234
24,48
57,115
92,201
72,161
79,176
41,82
47,95
10,21
115,248
78,174
96,210
31,62
63,131
38,77
99,215
86,190
48,96
4,8
37,75
85,188
103,224
21,42
1,2
45,91
106,229
8,17
69,155
113,244
55,110
11,22
29,58
44,89
62,125
110,238
63,133
28,56
46,92
52,105
15,31
76,169
83,184
18,36
36,72
25,51
32,65
67,151
104,225
35,70
53,106
9,18
42,85
70,156
22,45
110,237
90,198
63,126
43,86
6,12
39,79
63,135
13,27
74,165
111,239
80,178
60,120
16,32
49,99
64,145
97,212
33,66
2,5
20,41
81,179
88,194
23,46
56,113
65,146
109,235
63,128
40,80
58,116
75,166
27,55
64,138
95,208
30,60
72,160
116,249
0,1
79,175
47,94
54,109
17,35
96,209
102,222
63,130
38,76
51,103
7,15
68,153
86,189
75,168
61,123
64,140
24,49
103,223
45,90
8,16
113,243
14,29
93,203
82,182
100,218
31,63
63,132
