source,destination,label
89,116,False
52,65,False
74,31,True
117,309,True
91,145,False
114,49,False
74,110,True
64,247,False
0,238,False
92,74,False
14,177,False
72,362,False
88,345,False
80,19,True
18,198,False
149,30,True
64,277,False
0,268,False
74,224,False
30,246,False
60,286,False
85,22,False
16,174,True
118,225,False
0,269,False
2,152,True
20,219,False
30,247,False
143,24,False
114,234,False
68,156,True
117,241,False
91,72,False
88,143,False
70,160,False
117,192,False
10,168,False
143,362,False
26,73,False
38,258,True
117,271,False
95,84,False
32,306,False
0,250,False
68,186,False
80,21,False
74,197,False
117,222,False
10,198,False
70,19,True
116,260,False
18,201,False
80,101,True
0,280,False
12,115,False
89,362,False
135,357,True
81,176,False
54,277,False
64,280,False
20,230,False
44,321,False
74,227,False
88,116,False
86,325,True
127,9,False
30,75,False
38,314,False
116,340,False
114,153,True
48,271,False
81,168,False
4,159,True
121,2,False
68,159,True
18,182,False
66,93,False
153,34,False
70,163,False
0,252,False
10,171,False
6,189,False
85,140,False
93,255,False
80,33,False
114,218,False
42,316,False
68,352,False
26,240,False
81,228,False
74,26,False
119,320,False
6,219,False
118,155,True
82,241,False
50,85,False
18,204,False
0,283,False
88,340,False
20,233,False
129,352,False
95,330,False
117,255,False
137,18,True
78,38,False
87,32,False
80,5,False
62,346,False
78,117,False
117,206,False
114,156,True
86,366,False
6,162,False
81,209,False
141,360,False
117,285,False
18,185,False
89,0,True
116,294,False
94,107,False
16,169,False
92,353,False
20,214,False
80,35,False
90,166,True
108,125,True
86,268,False
78,232,False
116,324,False
91,242,False
82,293,False
68,355,False
74,108,True
117,45,False
114,167,True
14,176,False
147,365,True
48,327,True
117,337,False
83,53,False
56,67,False
92,355,False
81,0,True
81,212,False
119,304,False
85,20,False
18,188,False
56,280,False
92,306,False
72,164,True
14,206,False
87,65,False
30,245,False
117,239,False
64,0,True
82,92,False
50,273,False
90,207,False
24,238,False
66,4,False
78,235,False
93,78,False
4,96,False
117,269,False
114,178,False
20,376,True
74,111,True
70,16,False
68,184,False
76,37,False
117,220,False
84,18,True
159,373,False
117,299,False
2,210,False
116,308,False
16,49,False
8,221,False
68,214,False
96,278,False
89,14,False
84,356,True
74,225,False
72,167,True
116,338,False
2,153,True
117,158,True
143,25,False
118,171,False
119,337,False
91,73,False
87,281,False
2,182,False
117,321,False
44,82,False
66,7,False
6,103,True
10,169,False
81,196,False
114,181,False
95,85,False
72,107,False
4,187,False
64,245,False
68,187,False
46,62,False
81,197,False
10,199,False
119,318,False
90,191,False
18,202,False
91,95,False
0,281,False
54,278,False
116,44,True
117,253,False
114,162,False
62,344,False
83,10,False
114,154,True
118,175,True
97,287,False
97,375,False
94,318,False
6,190,False
90,202,False
90,377,True
64,257,False
0,248,False
117,275,False
116,322,False
16,154,True
89,28,False
80,113,False
12,172,True
81,229,False
119,321,False
76,172,True
90,194,False
117,305,False
18,205,False
82,292,False
81,180,False
97,347,False
117,172,True
129,353,False
95,331,False
137,19,True
118,235,False
48,324,False
91,349,False
42,263,False
48,325,True
117,335,False
78,118,False
93,357,True
131,12,False
116,344,False
119,302,False
70,216,False
114,195,False
18,186,False
12,228,False
64,259,False
16,165,True
116,240,False
119,332,False
87,276,False
118,207,False
66,2,False
81,157,True
92,250,False
114,176,False
12,175,True
76,175,True
118,159,True
68,10,False
70,14,False
56,338,False
88,344,False
89,364,True
64,241,False
96,113,False
70,15,False
62,91,False
2,208,False
116,306,False
89,12,False
83,54,False
