source,destination
21,126
26,204
21,135
4,9
19,110
18,90
24,170
5,10
22,145
17,76
12,25
24,179
14,31
25,187
11,23
14,40
23,162
20,120
13,26
21,128
26,197
26,206
19,103
21,137
18,92
3,6
24,172
22,147
17,78
2,4
9,19
14,33
15,53
23,155
25,189
20,113
23,164
10,20
20,122
6,13
26,199
21,130
26,208
19,105
18,85
21,139
18,94
22,140
17,71
0,0
22,149
15,46
17,80
25,182
15,55
14,35
23,157
20,115
23,166
16,63
7,14
26,201
19,98
21,132
19,107
18,87
22,142
17,73
22,151
15,48
14,28
17,82
1,3
14,37
16,56
23,159
16,65
26,203
19,100
19,109
18,89
22,144
12,24
17,75
22,153
15,50
14,30
24,181
23,161
16,58
16,67
26,196
26,205
19,102
19,111
5,11
22,146
15,43
15,52
14,32
23,154
24,174
23,163
16,60
16,69
25,191
26,198
20,124
19,104
3,7
22,148
15,45
18,96
15,54
23,156
24,176
23,165
16,62
25,184
10,21
25,193
20,117
26,200
19,106
21,134
4,8
22,141
15,47
24,169
24,178
1,2
23,158
8,17
16,64
25,186
11,22
14,39
25,195
20,119
19,99
19,108
21,127
21,136
22,143
18,91
15,49
24,171
24,180
17,77
16,57
9,18
16,66
25,188
20,112
14,41
20,121
19,101
6,12
13,27
21,129
26,207
21,138
18,84
15,42
18,93
15,51
17,70
24,173
17,79
16,59
2,5
14,34
16,68
25,190
20,114
20,123
21,131
26,209
18,86
15,44
18,95
24,175
17,72
0,1
22,150
17,81
16,61
25,183
14,36
25,192
20,116
23,167
20,125
7,15
26,202
21,133
18,88
24,168
18,97
24,177
17,74
8,16
22,152
17,83
14,29
25,185
14,38
23,160
25,194
20,118
