index,is_init,is_goal
0,True,False
1,False,False
2,True,False
3,False,False
4,False,False
5,True,False
6,False,False
7,True,False
8,True,False
9,False,False
10,True,False
11,False,False
12,True,False
13,False,False
14,False,False
15,True,False
16,False,False
17,False,False
18,False,False
19,False,True
20,False,False
21,False,False
22,False,False
23,True,False
24,False,False
25,False,False
26,False,False
27,False,False
28,False,True
29,False,False
30,True,False
31,False,False
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,False,False
38,False,False
39,True,False
40,False,False
41,False,False
42,False,False
43,True,False
44,False,False
45,False,False
46,False,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,True,False
56,False,False
57,False,False
58,True,False
59,False,False
60,False,False
61,False,False
62,False,True
63,False,False
64,False,False
65,False,False
66,False,False
67,False,True
68,False,False
69,False,False
70,False,False
71,True,False
