source,destination,label
75,305,False
75,439,False
50,698,True
61,367,False
59,351,False
63,421,False
167,329,False
67,466,False
56,211,False
107,263,False
75,469,False
77,548,False
3,246,False
15,477,False
138,444,False
157,319,True
8,566,False
46,658,False
100,739,False
12,374,False
79,593,False
146,709,False
1,231,False
25,484,False
77,415,False
108,271,False
134,341,False
141,315,False
75,499,False
65,443,False
77,540,False
111,363,False
75,237,False
49,158,False
37,61,False
112,529,False
36,732,False
0,298,False
21,360,False
118,304,False
45,127,False
77,308,False
119,470,False
129,635,False
102,216,False
79,362,False
149,610,False
50,701,True
61,370,False
24,453,False
33,621,False
145,753,False
59,354,False
63,424,False
140,512,False
130,643,False
43,712,False
67,469,False
20,328,False
71,539,False
146,682,False
99,675,False
43,104,False
79,392,False
75,338,False
56,214,False
75,472,False
145,699,True
65,454,False
79,517,False
3,249,False
71,743,False
69,515,False
8,569,False
46,661,False
105,245,True
167,362,False
12,377,False
25,487,False
59,335,False
75,502,False
77,581,False
75,240,False
133,291,False
113,332,False
138,477,False
108,650,False
32,20,False
104,234,False
61,381,False
160,553,False
30,675,False
141,348,False
75,532,False
24,455,False
33,24,False
161,323,False
112,562,False
33,25,True
148,601,True
43,106,False
77,216,False
44,119,False
118,337,False
17,545,False
42,103,False
43,715,False
77,341,False
67,472,False
51,172,False
31,609,False
155,663,False
79,395,False
65,719,False
65,457,False
69,518,False
51,173,False
12,380,False
79,425,False
40,604,False
69,731,False
83,233,False
75,505,False
124,725,False
63,408,False
79,550,False
126,608,True
153,269,False
107,640,False
117,468,False
73,752,False
54,656,False
95,281,False
167,395,False
123,679,False
61,696,True
10,316,False
146,745,False
30,594,True
99,738,False
61,384,False
69,499,False
30,678,False
18,581,False
5,462,False
75,535,False
75,273,False
113,365,False
67,483,False
71,553,False
138,510,False
140,314,False
17,547,False
21,355,False
56,752,False
104,613,False
31,12,False
44,646,False
160,586,False
41,93,False
120,306,False
27,283,False
110,288,False
17,548,False
75,565,False
43,718,False
75,303,False
106,630,False
161,356,False
75,437,False
51,175,False
104,614,False
39,78,False
11,345,False
65,460,False
101,686,False
67,726,False
114,300,False
63,410,False
118,370,False
77,383,False
40,607,True
75,333,False
79,428,False
69,734,False
71,738,False
100,703,True
63,411,False
77,413,False
159,321,False
73,755,False
95,284,False
61,699,True
65,441,False
49,156,False
61,387,False
37,59,False
87,248,False
79,458,False
48,144,True
69,502,False
79,592,False
73,572,False
75,538,False
150,619,False
116,335,False
67,486,False
149,232,False
71,556,False
21,358,False
117,501,False
34,630,False
167,428,False
31,15,False
79,226,False
135,507,False
79,360,False
32,615,False
75,568,False
75,306,False
0,297,False
113,398,False
138,543,False
147,683,False
61,368,False
123,742,False
63,422,False
57,302,False
67,467,False
20,326,False
71,537,False
77,252,False
14,440,False
75,336,False
75,470,False
127,239,False
38,672,False
71,741,False
20,327,False
8,567,False
12,241,False
13,416,False
63,705,False
114,333,False
7,530,False
118,403,False
77,416,False
108,272,False
95,287,False
36,49,False
138,312,False
75,366,False
75,500,False
