source,destination,label
247,58,False
264,60,False
262,60,False
364,102,False
413,54,False
176,61,False
230,58,False
263,127,False
277,66,False
280,73,False
56,28,False
191,54,False
342,57,False
197,75,False
277,67,False
230,88,False
172,9,False
91,42,False
260,66,False
279,62,False
421,87,False
344,103,False
252,64,False
148,131,False
391,61,False
131,52,False
445,58,False
478,127,False
46,31,False
93,39,False
352,57,False
254,60,False
271,90,False
204,124,False
243,17,False
281,109,False
374,61,False
204,75,False
284,17,False
494,62,False
217,11,False
237,11,False
245,126,False
267,17,False
106,46,False
78,35,False
415,54,False
231,5,False
437,58,False
200,65,False
207,64,False
235,66,False
229,5,False
118,45,False
61,35,False
344,57,False
249,89,False
33,24,False
243,69,False
234,63,False
269,64,False
436,56,False
312,80,False
237,71,False
437,88,False
190,64,False
218,66,False
458,60,False
486,62,False
101,45,False
140,0,False
73,34,False
183,16,False
419,56,False
470,108,False
173,64,False
468,108,False
402,105,False
145,53,False
256,60,False
273,90,False
342,101,False
192,11,False
435,125,False
242,17,False
153,7,False
32,23,True
215,69,False
207,67,False
205,17,False
239,11,False
492,109,False
83,42,True
234,66,False
168,63,False
248,5,False
372,59,False
426,56,False
280,11,False
55,32,False
123,52,True
187,5,True
255,108,False
217,66,False
355,59,False
383,61,False
170,59,False
301,53,False
7,22,False
475,60,False
192,63,False
272,5,False
320,100,False
352,123,False
233,64,False
189,86,False
116,43,False
460,89,False
140,63,False
254,77,False
213,56,False
147,53,False
418,56,False
196,105,False
194,11,False
325,55,False
146,129,False
434,125,False
467,60,False
381,98,False
265,68,False
237,107,False
276,62,False
428,56,False
401,86,False
284,65,False
237,58,False
372,122,False
226,77,False
357,59,False
172,59,False
155,129,False
198,54,False
140,66,False
274,5,False
138,50,False
250,64,False
286,62,False
221,125,False
121,50,False
462,89,False
141,0,False
145,70,False
269,62,False
283,63,False
486,109,False
359,85,False
318,98,False
366,59,False
188,86,False
164,67,False
420,56,False
265,71,False
327,55,False
350,121,False
113,44,False
284,68,False
378,83,False
147,67,False
436,125,False
469,60,False
323,103,False
239,107,False
278,62,False
402,54,False
149,63,False
239,58,False
272,71,False
330,122,False
18,20,False
150,55,False
235,67,False
108,43,False
284,128,False
160,74,False
189,73,False
43,32,True
269,65,False
183,66,False
283,17,False
476,60,False
77,34,False
161,8,False
409,54,False
207,87,False
266,17,False
246,58,False
292,53,True
317,85,False
499,128,False
338,57,False
141,63,False
60,34,False
231,58,False
214,66,False
196,73,False
149,66,False
195,11,False
222,69,False
262,127,False
336,83,False
90,41,False
426,106,False
157,132,False
72,33,False
231,88,False
197,66,False
368,118,False
205,68,False
178,61,True
42,31,False
151,72,False
238,66,False
483,62,True
196,54,False
23,27,True
347,57,False
45,30,False
401,54,False
276,109,False
152,55,False
82,41,False
158,91,False
390,61,False
286,128,False
308,53,False
153,68,False
195,71,False
174,59,False
450,107,False
75,37,False
155,13,False
85,40,False
358,59,False
229,69,False
221,17,False
450,58,False
285,17,False
151,94,False
115,47,False
287,62,False
288,75,False
241,68,False
204,17,False
220,56,False
268,17,False
294,53,True
167,91,False
183,130,False
277,11,False
340,57,False
270,62,False
188,54,False
122,51,False
224,68,False
177,61,False
294,83,True
418,87,False
428,106,False
271,5,False
285,69,False
276,63,False
331,123,False
239,75,False
354,80,False
107,47,False
403,54,False
274,64,False
278,109,False
182,16,False
310,53,False
386,103,False
469,108,False
212,56,False
240,58,False
202,54,False
184,61,False
187,69,True
157,13,False
332,57,False
407,105,False
360,98,False
261,60,False
243,68,False
246,75,False
139,51,False
222,56,False
199,68,False
154,65,False
427,56,False
414,124,False
247,17,False
219,106,False
235,11,False
332,79,False
198,66,False
256,108,False
276,11,False
484,90,True
420,87,False
164,14,False
319,99,False
209,5,False
300,53,False
273,5,False
178,78,True
242,65,False
249,64,False
144,6,False
444,58,False
245,73,False
388,61,False
175,59,False
442,58,False
292,81,True
176,91,False
475,127,False
171,68,False
279,71,False
232,64,False
251,60,False
394,123,False
214,56,False
201,124,False
459,89,False
197,105,False
141,92,False
309,53,False
15,22,False
105,45,False
63,37,True
384,101,False
234,11,False
242,126,False
466,60,False
219,11,False
228,5,False
249,67,False
380,61,False
167,59,False
251,71,False
221,56,False
203,73,False
156,66,False
313,55,False
341,57,False
327,119,False
137,49,False
211,5,False
266,127,False
457,126,False
30,26,False
120,49,False
416,56,False
163,74,False
92,38,False
316,84,False
362,100,False
199,63,False
220,125,False
142,53,False
253,60,False
270,90,False
27,27,False
202,71,False
461,89,False
184,78,False
187,86,True
275,64,False
365,59,False
335,82,False
261,77,False
39,26,False
392,121,False
236,11,False
129,49,False
244,126,False
408,105,False
485,90,True
22,26,False
165,14,False
277,62,False
173,129,False
195,54,False
223,56,False
186,5,False
206,64,False
209,71,False
315,55,False
248,89,False
150,92,False
268,127,False
206,56,False
189,64,False
154,113,False
177,92,False
254,5,False
477,60,False
175,76,False
230,64,False
222,125,False
144,53,False
227,58,False
166,57,False
165,66,False
322,55,False
21,25,False
147,12,False
212,87,False
464,60,False
219,77,False
427,106,False
234,107,False
264,69,False
397,54,False
279,11,False
180,61,False
234,58,False
247,68,False
174,66,False
267,127,False
439,58,False
237,66,False
164,64,False
365,103,False
455,126,False
449,107,False
488,62,False
260,75,False
434,56,False
212,5,False
188,64,False
271,69,False
449,58,False
128,48,True
142,70,False
181,116,False
324,104,False
182,129,False
204,54,False
167,3,False
417,56,False
311,79,False
324,55,False
159,92,False
288,17,False
293,82,True
52,28,False
433,125,False
256,66,False
236,107,False
144,68,False
275,62,False
400,86,False
143,6,False
305,118,False
353,79,False
236,58,False
387,61,False
333,80,False
441,58,False
239,66,False
474,127,False
146,64,False
181,78,False
166,14,False
348,57,False
37,24,False
200,124,False
280,66,False
277,109,False
316,55,False
441,88,False
490,62,False
34,25,False
222,17,False
245,58,False
191,77,False
498,128,False
170,65,False
263,17,False
155,64,False
169,3,False
166,74,False
74,35,False
411,54,False
228,58,False
153,65,False
246,17,False
173,15,False
189,54,False
114,45,False
29,24,False
204,68,False
322,102,False
148,12,False
497,62,False
228,88,False
419,87,False
361,99,False
59,31,False
291,80,True
159,57,False
341,100,False
149,55,False
162,65,False
305,53,False
127,52,False
252,60,False
99,41,False
202,124,False
282,66,False
89,39,False
140,91,False
156,130,False
145,65,False
284,62,False
300,101,False
44,28,False
489,62,False
206,87,False
172,65,False
201,17,False
488,109,False
217,56,False
265,17,False
291,53,True
194,69,False
51,32,False
213,66,False
227,5,False
379,61,False
297,53,False
259,11,False
499,62,False
162,68,False
180,111,False
6,21,False
181,65,False
289,68,False
226,56,False
179,65,False
257,66,False
185,86,False
400,54,False
150,1,False
251,5,False
299,100,False
151,55,False
201,69,False
442,88,False
183,61,False
466,108,False
178,4,True
209,56,False
143,53,False
287,73,False
191,64,False
212,64,False
192,105,False
240,66,False
269,90,False
349,57,False
254,89,False
286,71,False
225,125,False
391,120,False
463,60,False
491,62,False
203,17,False
413,124,False
490,109,False
31,27,False
293,53,True
223,17,False
424,56,False
452,58,False
171,65,False
68,33,True
331,55,False
244,68,False
497,128,False
149,91,False
215,66,False
257,69,False
168,59,False
299,53,False
381,61,False
165,130,False
417,87,False
259,73,False
180,10,False
163,114,False
211,75,False
473,60,False
314,55,False
270,5,False
256,67,False
177,4,False
195,66,False
231,64,False
369,119,False
253,5,False
175,67,False
458,89,False
229,64,False
211,56,False
174,130,False
156,13,False
194,105,False
477,127,False
323,55,False
358,84,False
241,63,False
338,85,False
244,71,False
349,120,False
432,125,False
465,60,False
198,77,False
178,97,True
217,73,False
415,124,False
145,112,False
329,121,False
377,82,False
235,107,False
216,11,False
218,106,False
399,86,False
489,109,False
36,23,False
168,92,False
483,90,True
104,43,False
287,68,False
330,55,False
456,126,False
87,42,False
193,54,False
208,5,False
454,126,False
248,64,False
267,60,False
214,67,False
134,50,False
472,60,False
205,77,False
191,5,False
187,64,True
433,56,False
176,4,False
250,60,False
242,58,False
186,86,False
152,64,False
272,64,False
443,88,False
362,59,False
366,104,False
467,108,False
296,85,True
172,115,False
217,106,False
86,41,False
241,126,False
58,30,False
152,7,False
186,67,False
16,18,False
226,125,False
405,105,False
259,60,False
218,11,False
184,67,False
479,62,True
274,62,False
192,54,False
126,51,False
491,109,False
98,40,False
41,30,False
425,56,False
13,19,False
347,118,False
196,66,False
210,5,False
245,68,False
446,107,False
71,37,False
81,40,False
354,59,False
53,29,False
446,58,False
474,60,False
111,47,False
283,62,False
407,54,False
435,56,False
244,58,False
290,53,True
233,77,False
334,81,False
155,55,False
364,59,False
66,36,False
163,8,False
267,75,False
38,25,False
147,66,False
220,68,False
325,117,False
28,23,False
193,11,False
256,11,False
160,2,False
243,126,False
424,106,False
498,62,False
203,68,False
385,102,False
227,88,False
414,54,False
481,62,True
340,99,False
264,68,False
185,5,False
373,59,False
399,54,False
260,108,False
343,57,False
371,59,False
158,57,False
306,53,False
266,73,False
219,66,False
218,75,False
448,107,False
356,59,False
281,66,False
285,62,False
202,17,False
47,32,False
201,54,False
205,124,False
157,55,False
164,129,False
186,54,False
222,68,False
2,21,False
430,125,False
190,75,False
363,59,False
263,68,False
226,17,False
455,58,False
187,54,True
159,2,False
246,68,False
384,61,False
298,99,False
447,107,False
438,58,False
225,56,False
236,66,False
282,11,False
221,65,False
345,57,False
160,57,False
250,89,False
309,122,False
255,63,False
182,61,False
337,84,False
259,108,False
383,100,False
438,88,False
248,65,False
283,128,False
487,62,False
150,68,False
328,120,False
146,53,False
274,90,False
203,54,False
152,65,False
408,54,False
412,124,False
245,17,False
171,111,False
363,101,False
337,57,False
482,90,True
201,68,False
236,69,False
133,49,False
181,10,False
457,58,False
221,68,False
298,53,False
315,83,False
416,87,False
179,10,False
266,60,False
136,48,False
257,11,False
425,106,False
306,119,False
386,61,False
173,59,False
440,58,False
473,127,False
482,62,True
249,60,False
199,124,False
279,66,False
480,62,True
271,64,False
210,56,False
261,108,False
440,88,False
285,128,False
175,134,False
206,65,False
254,64,False
252,89,False
262,17,False
168,3,False
393,61,False
223,125,False
447,58,False
410,54,False
157,72,False
215,11,False
219,56,False
376,61,False
339,57,False
468,60,False
159,68,False
223,68,False
264,127,False
185,64,False
286,68,False
268,60,False
110,46,False
3,22,True
247,126,False
253,75,False
161,65,False
247,77,False
140,53,False
233,5,False
65,35,False
155,67,False
209,64,False
162,57,False
472,127,False
112,43,True
273,64,False
172,76,False
318,55,False
346,57,False
251,89,False
144,65,False
345,104,False
162,8,False
95,42,False
307,53,False
439,88,False
20,24,False
460,60,False
142,0,False
252,73,False
220,17,False
421,56,False
406,105,False
135,52,False
9,19,False
496,128,False
50,31,False
225,75,False
146,12,False
404,105,False
97,39,False
258,60,False
275,90,False
175,15,False
378,61,False
326,118,False
258,11,False
374,79,False
451,126,False
80,39,False
147,130,False
252,5,False
228,64,False
149,1,False
250,5,False
208,56,False
193,105,False
200,54,False
258,71,False
211,64,False
373,123,False
164,57,False
210,73,False
320,55,False
253,89,False
303,104,False
462,60,False
119,46,False
208,87,False
191,86,False
213,11,False
271,62,False
423,56,False
396,86,False
142,63,False
232,58,False
260,60,False
102,46,False
161,110,False
228,67,False
196,11,False
260,11,False
