source,destination
21,71
24,106
11,51
22,81
24,115
0,5
3,22
25,123
23,98
25,132
12,52
18,65
22,74
24,108
19,66
22,83
23,91
25,125
5,30
23,100
1,8
17,62
22,76
0,0
6,34
22,85
4,25
23,93
5,32
23,102
24,122
1,10
25,139
10,49
22,78
0,2
3,19
6,36
22,87
4,27
23,95
23,104
8,45
11,50
22,80
3,21
6,38
24,117
23,97
15,59
2,13
18,64
25,134
9,46
22,73
22,82
3,23
24,110
7,39
13,55
23,90
24,119
23,99
1,7
16,60
25,127
2,15
25,136
20,69
22,75
22,84
24,112
4,24
7,41
23,92
24,121
23,101
1,9
25,129
2,17
25,138
21,70
22,77
3,18
6,35
24,114
4,26
7,43
23,94
0,4
1,11
25,131
8,44
14,57
6,37
24,107
24,116
4,28
15,58
25,124
2,12
5,29
25,133
12,53
22,72
24,109
23,89
13,54
19,67
24,118
1,6
25,126
2,14
5,31
25,135
20,68
9,47
10,48
17,63
24,111
7,40
0,1
22,86
24,120
16,61
25,128
2,16
5,33
23,103
25,137
22,79
7,42
24,113
0,3
3,20
22,88
23,96
25,130
23,105
14,56
