source,destination,label
54,293,False
80,67,False
18,302,False
86,300,False
84,150,False
21,338,False
62,97,False
99,143,True
11,36,False
96,198,False
9,20,False
55,149,False
59,381,False
90,312,False
88,162,False
50,204,False
94,254,False
66,109,False
92,104,False
32,112,False
94,333,False
91,42,False
50,155,False
63,393,False
19,315,False
57,11,False
4,289,False
83,6,False
35,87,True
22,364,True
5,31,False
85,369,False
66,535,False
23,74,False
63,394,False
66,402,True
14,25,False
59,16,False
87,18,False
97,417,False
77,134,False
73,476,False
70,547,False
89,381,False
84,74,False
63,28,False
79,566,False
86,303,False
88,307,False
36,367,False
84,153,False
46,195,False
40,437,False
21,341,False
56,80,False
20,329,True
37,380,False
58,159,True
65,108,False
90,315,False
1,234,False
92,107,False
96,414,False
95,199,False
94,336,False
92,186,False
61,168,False
19,318,False
85,372,True
75,57,False
64,176,False
26,134,False
9,4,False
61,169,False
99,290,False
75,58,False
36,378,False
99,424,False
70,550,False
56,225,False
67,259,False
75,483,False
54,75,False
68,189,True
9,34,False
74,421,False
84,368,False
88,310,False
75,350,False
82,290,False
21,344,False
14,9,False
62,528,False
81,362,False
100,358,False
97,267,False
72,51,False
79,212,False
9,64,False
63,457,False
92,322,False
1,237,False
30,127,False
100,437,False
35,101,True
5,45,False
92,189,True
2,250,False
76,206,False
74,56,False
24,120,False
25,133,False
38,405,False
86,233,True
59,234,False
76,489,False
71,553,False
10,49,False
96,264,False
58,306,False
37,394,False
75,486,False
84,292,False
89,163,False
58,519,False
77,353,False
84,159,True
100,285,False
63,247,True
21,347,False
65,326,False
65,460,False
88,392,False
91,188,True
95,120,False
99,62,False
38,407,False
96,196,False
57,375,False
9,18,False
93,105,False
99,141,False
0,232,True
60,383,False
89,314,True
98,213,False
85,154,False
55,439,False
57,9,False
64,395,False
62,245,False
73,127,False
63,392,False
89,166,False
57,10,False
67,41,False
3,266,False
73,474,False
54,294,False
80,68,False
61,22,False
64,30,True
57,302,False
67,333,False
79,564,False
20,326,False
18,298,True
70,412,False
36,365,False
40,435,False
62,98,False
61,314,True
60,385,False
98,215,False
76,424,False
74,274,False
93,108,False
20,327,False
66,110,False
96,412,False
62,390,False
81,215,False
69,118,False
3,277,False
56,371,True
19,316,False
66,536,False
60,20,False
96,46,False
76,59,False
95,55,False
14,26,False
59,17,False
98,63,False
70,548,False
22,354,False
18,300,False
93,253,False
63,29,False
55,77,False
2,262,True
91,103,False
54,510,False
36,368,False
21,342,False
93,332,False
66,37,False
56,81,False
29,111,False
17,14,False
97,265,False
45,150,False
85,84,False
63,455,False
81,143,True
1,235,False
97,344,False
89,17,False
56,373,False
84,1,False
45,180,False
88,246,True
19,314,True
95,195,False
64,177,False
26,135,False
57,228,False
49,201,False
45,210,False
73,346,False
71,196,False
11,51,False
22,357,False
60,449,False
58,87,True
73,559,False
100,283,False
93,256,False
94,397,False
91,106,False
57,84,False
85,220,False
82,291,False
70,194,False
21,345,False
93,335,False
85,87,True
14,10,False
95,118,False
61,96,False
87,91,False
99,363,True
54,147,False
81,576,False
5,46,False
99,139,False
14,40,False
72,344,False
84,4,False
24,121,False
98,211,False
82,363,True
13,56,False
86,367,False
38,406,False
71,341,False
29,95,False
72,557,False
88,25,False
59,235,False
68,117,True
71,554,False
10,50,False
62,243,False
78,282,False
22,360,False
3,264,False
92,37,False
29,125,False
17,28,False
55,295,False
45,164,False
94,400,False
37,390,False
91,109,False
54,292,False
85,223,False
73,126,False
83,73,False
65,327,False
32,84,False
85,302,False
39,420,False
82,507,False
89,244,False
87,94,False
18,296,False
38,408,False
20,325,False
77,280,False
0,233,True
84,7,False
60,384,False
40,425,False
61,525,False
80,359,False
99,355,False
86,370,False
88,28,False
72,124,False
64,396,False
90,391,False
63,175,True
22,363,True
60,18,False
47,183,False
17,72,True
100,289,False
98,61,False
78,498,False
94,403,False
16,69,False
29,79,False
81,506,False
57,303,False
39,423,False
70,413,False
16,70,False
76,562,False
40,436,False
2,260,False
87,97,False
56,79,False
29,109,False
17,12,False
84,365,False
74,275,False
61,315,False
99,145,False
80,574,False
75,204,False
70,47,False
69,119,False
77,496,False
17,42,False
70,48,False
95,193,False
93,402,True
66,403,False
92,398,False
53,160,True
4,286,False
69,411,False
15,68,False
19,313,True
56,6,False
22,355,False
99,72,True
58,85,True
57,518,False
76,352,False
96,127,False
55,78,False
87,100,True
2,263,True
66,38,False
50,212,False
69,46,False
100,352,False
0,227,False
80,141,False
47,197,False
45,181,False
97,346,False
72,555,False
67,185,False
49,202,False
72,343,False
60,237,False
99,208,False
22,358,False
60,450,False
50,185,False
81,288,False
37,388,False
89,29,False
96,343,False
23,104,False
32,82,False
2,255,False
88,174,True
54,148,False
97,348,False
48,200,False
64,105,False
0,230,False
57,156,False
39,410,False
70,266,False
0,231,True
99,353,False
38,402,True
99,432,False
62,244,False
85,148,False
19,307,False
84,298,True
65,252,False
17,29,False
55,296,False
100,287,False
37,391,False
5,15,True
69,264,False
39,421,False
1,245,False
2,258,False
18,297,False
81,575,True
71,269,False
59,163,False
98,209,False
61,526,False
80,360,False
52,215,False
23,88,False
78,210,False
93,399,False
72,125,False
93,187,False
68,467,False
85,151,False
19,310,False
4,284,False
23,118,False
95,49,False
60,311,False
1,248,True
88,313,True
79,357,False
96,125,False
99,70,False
90,239,False
88,89,False
67,464,False
29,110,False
81,578,True
94,251,False
81,142,True
64,324,False
19,321,False
58,233,True
77,497,False
68,336,False
85,366,False
70,340,False
3,274,False
89,308,False
97,423,False
4,287,False
89,175,True
32,99,False
35,85,True
99,206,False
84,80,False
71,195,False
56,7,False
60,448,False
58,86,True
98,144,False
36,373,False
90,242,False
35,115,True
88,92,False
96,341,False
93,250,False
90,321,False
93,117,True
92,113,False
21,339,False
96,420,False
78,428,False
59,382,False
93,405,False
73,272,False
95,197,False
0,229,False
89,311,False
71,122,False
72,472,False
87,161,False
4,290,False
38,400,False
89,390,False
80,213,False
84,83,False
78,63,False
99,288,False
36,376,False
77,135,False
21,350,False
79,139,False
37,389,False
88,95,False
54,73,False
97,273,False
23,105,False
1,243,False
77,427,False
67,113,False
57,157,False
83,152,False
100,435,False
98,207,False
60,165,False
41,148,False
87,164,False
84,86,True
89,393,False
68,465,False
3,269,False
88,240,False
19,308,False
65,253,False
71,551,False
27,77,False
88,319,False
36,379,False
58,304,False
66,182,False
37,392,False
95,47,False
56,226,False
75,484,False
77,563,False
92,252,False
81,505,False
68,190,True
69,265,False
44,208,False
92,331,False
99,68,False
2,259,False
40,430,False
35,102,True
64,322,False
63,101,True
62,172,False
96,194,False
52,216,False
58,231,True
55,224,False
99,436,False
74,482,False
68,334,False
84,301,False
66,184,False
3,272,False
19,311,False
4,285,False
78,503,False
23,119,False
12,54,False
82,436,False
42,194,False
32,138,False
79,358,False
61,241,False
93,35,False
92,334,False
87,15,True
51,214,False
75,130,False
28,123,False
93,114,False
67,331,False
99,284,False
20,324,False
40,433,False
21,337,False
89,20,False
59,380,False
81,434,False
27,91,False
96,276,False
96,410,False
3,275,False
68,466,True
55,440,False
69,541,False
4,288,False
100,431,False
35,86,True
92,395,False
66,401,True
14,24,False
56,8,False
69,542,False
83,85,True
99,286,False
36,374,False
93,38,False
22,352,False
35,116,True
85,2,False
58,378,False
89,247,True
20,336,False
23,103,False
63,27,False
56,300,False
65,106,False
59,307,False
18,299,True
21,340,False
89,23,False
84,231,True
78,429,False
63,319,False
100,433,False
47,153,False
97,342,False
62,391,False
58,13,False
73,273,False
82,579,True
71,123,False
56,372,True
72,473,False
69,544,False
96,56,False
62,25,False
78,64,False
36,377,False
54,74,False
68,409,False
85,5,False
100,281,False
14,57,False
89,238,False
57,82,False
1,244,False
59,523,True
72,271,False
89,26,False
