source,destination,label
625,73,False
368,21,False
172,28,True
679,70,False
371,129,False
269,134,False
363,127,False
842,121,False
218,145,False
338,145,False
234,128,False
530,135,False
256,54,False
630,77,False
831,116,False
431,139,False
36,132,False
709,91,False
173,134,False
492,35,False
466,128,False
1018,124,False
161,28,False
46,1,False
239,54,False
112,5,False
550,37,False
113,146,False
868,88,False
675,145,False
571,128,False
388,132,False
598,77,False
94,142,True
548,141,False
355,14,False
778,95,False
798,104,False
202,30,False
1005,120,False
21,128,False
786,98,False
330,145,False
56,1,False
522,135,False
967,107,False
652,138,False
491,33,False
402,23,False
300,56,False
6,128,False
904,83,False
143,130,False
108,145,False
957,102,False
687,90,False
381,131,True
841,122,False
932,99,False
231,54,False
300,136,False
210,142,False
105,146,False
922,97,True
340,145,False
930,99,False
123,27,False
532,135,False
783,101,False
387,131,False
143,27,False
632,77,False
576,64,False
55,133,False
442,141,False
452,144,False
768,95,True
468,127,False
562,42,False
494,35,False
77,137,False
597,77,False
659,139,False
307,57,False
738,90,False
192,30,False
787,92,False
75,137,False
85,140,False
667,142,False
610,132,False
407,133,False
694,91,False
375,6,False
384,12,True
664,64,False
557,40,False
372,127,False
130,27,False
260,130,False
396,19,False
672,67,False
155,134,False
565,43,False
383,10,True
132,128,False
322,142,False
979,109,False
332,145,False
72,2,False
228,128,False
524,135,False
718,91,False
502,132,False
70,2,False
70,136,False
434,141,False
444,144,False
248,54,False
331,59,False
27,0,False
516,50,False
172,133,True
701,91,False
25,0,False
737,89,False
690,82,False
527,45,False
965,105,False
666,141,False
752,94,False
876,86,False
1001,119,False
10,0,False
277,133,False
943,93,False
674,144,False
649,62,False
578,64,False
463,37,False
94,4,True
411,7,False
484,128,False
51,1,False
339,146,False
789,100,False
257,54,False
576,127,False
464,129,False
492,131,False
194,30,False
338,59,False
850,122,False
100,4,False
909,93,True
583,68,False
449,145,False
240,54,False
444,13,False
132,27,False
35,134,True
398,19,False
396,131,False
294,136,False
433,8,False
226,145,False
64,133,False
639,61,False
0,0,True
692,89,False
58,1,False
382,10,False
115,27,False
436,141,False
799,105,False
596,75,False
497,37,False
403,23,False
1023,126,False
2,130,False
776,93,False
448,15,False
69,137,False
330,59,False
141,27,False
572,60,False
78,3,False
975,108,False
954,96,False
366,127,False
124,27,False
346,128,False
427,24,False
673,145,False
168,28,False
764,102,False
937,96,False
990,114,False
340,59,False
724,85,False
180,29,False
875,88,False
305,137,False
280,55,False
1021,125,True
151,28,False
286,133,True
225,146,False
121,129,False
417,136,False
19,0,False
480,48,False
961,96,False
627,131,False
435,142,False
60,1,False
946,96,False
612,131,False
428,138,False
353,129,False
566,44,True
175,28,False
253,129,False
349,10,False
458,129,False
43,1,False
440,12,False
623,133,False
672,144,False
332,59,False
412,135,False
158,28,False
522,33,False
297,137,False
426,24,False
243,128,False
224,32,False
293,55,False
109,5,False
585,70,False
275,134,False
92,4,False
912,96,False
285,132,True
401,21,False
677,69,False
354,14,False
126,27,False
634,132,False
526,45,False
165,132,False
584,68,False
903,82,False
233,130,False
241,54,False
447,145,False
992,114,False
702,81,False
924,95,False
182,29,False
167,28,False
474,45,False
3,128,False
252,128,False
97,143,False
649,139,False
1017,126,False
227,146,False
59,1,False
589,72,False
419,136,False
87,3,False
285,55,True
30,128,False
265,55,False
722,83,False
174,132,False
901,88,False
216,32,False
355,128,False
42,1,False
135,128,False
177,28,False
74,136,False
388,14,False
460,128,False
497,133,False
82,139,False
1012,125,False
549,36,False
306,57,False
160,28,False
10,129,False
299,137,False
759,94,False
130,129,False
111,5,False
516,131,False
66,2,False
314,139,False
209,143,False
272,55,False
219,146,False
393,18,False
993,109,False
356,14,False
411,136,False
1004,119,False
531,136,False
217,146,False
621,131,False
409,136,False
362,129,False
539,139,False
963,99,False
467,129,False
17,0,False
1019,125,False
772,101,False
52,1,False
169,28,False
291,132,False
313,57,False
361,18,False
341,59,False
189,137,False
641,136,False
697,83,False
650,76,False
791,98,False
296,56,False
453,17,False
61,1,False
570,60,False
164,134,False
561,145,False
873,85,False
833,118,True
152,28,False
486,127,False
218,32,False
103,5,False
834,115,False
146,130,False
44,1,False
306,139,False
408,6,False
463,128,False
1015,124,False
379,132,False
76,136,False
628,132,False
849,121,False
858,86,False
191,29,False
412,18,False
568,144,False
607,62,False
320,58,False
944,94,False
747,100,False
201,140,False
211,143,False
395,18,False
34,133,True
154,133,False
485,50,False
375,131,False
812,113,False
225,32,False
1010,123,False
781,98,False
163,133,False
970,106,False
443,142,False
612,66,False
349,128,False
598,128,False
678,70,False
36,1,False
775,92,False
315,57,False
611,64,False
395,133,False
545,139,False
183,29,False
927,99,False
887,91,False
892,86,False
839,121,False
75,2,False
730,81,False
28,129,False
253,54,False
138,27,False
602,129,False
616,68,False
630,131,False
204,31,False
918,102,False
811,112,False
577,64,False
539,50,False
356,129,False
540,138,False
919,94,False
947,97,True
8,130,False
803,106,False
785,92,True
629,75,False
582,68,False
265,133,False
199,30,False
455,19,False
1002,120,False
84,3,False
665,64,False
475,128,False
67,2,False
472,128,False
605,60,False
245,54,False
140,130,False
867,86,False
546,35,False
559,145,False
228,54,False
713,84,False
250,129,False
620,133,True
456,33,False
976,107,False
329,143,False
530,48,False
521,133,False
235,129,False
140,27,False
571,60,False
372,25,False
304,56,True
52,133,False
477,46,False
91,4,False
594,127,False
434,9,False
489,131,False
626,133,False
359,16,False
640,72,False
890,84,False
513,48,False
45,1,False
587,129,False
380,8,True
348,127,True
404,133,False
337,146,True
259,129,False
380,133,True
623,72,False
524,34,False
147,132,False
655,78,False
224,145,False
267,132,False
101,4,False
279,55,False
321,58,False
354,127,False
519,131,False
955,97,False
213,31,False
264,55,False
262,55,True
321,143,False
499,132,False
179,134,False
801,104,False
