source,destination
5,65
0,5
8,82
12,98
3,40
1,15
6,66
4,48
7,74
10,91
2,32
13,99
0,7
3,33
3,42
1,17
6,68
4,50
2,25
7,76
13,101
5,60
0,0
0,9
3,35
9,85
6,70
1,19
4,52
2,27
7,78
5,62
0,2
3,37
1,12
4,45
1,21
4,54
10,88
2,29
5,55
5,64
12,97
1,14
4,47
2,22
7,73
10,90
2,31
5,57
1,16
7,75
2,24
5,59
1,18
9,87
2,26
11,93
6,72
5,61
0,4
1,11
8,81
1,20
3,39
2,28
11,95
5,63
0,6
1,13
8,83
3,41
10,89
6,67
2,30
4,49
5,56
13,100
0,8
3,34
9,84
3,43
2,23
6,69
4,51
5,58
7,77
0,1
0,10
3,36
9,86
4,44
11,92
6,71
4,53
7,79
0,3
8,80
12,96
3,38
4,46
11,94
