index,is_init,is_goal
0,False,False
1,False,False
2,False,False
3,True,False
4,False,False
5,False,False
6,False,False
7,True,False
8,True,False
9,False,False
10,False,True
11,False,False
12,True,False
13,False,True
14,False,False
15,False,False
16,True,False
17,False,True
18,False,False
19,False,False
20,True,False
21,False,False
22,False,True
23,False,False
24,False,False
25,True,False
26,False,False
27,False,False
28,False,False
29,False,False
30,True,False
31,False,False
32,False,False
33,False,False
34,False,False
35,False,False
36,False,False
37,True,False
38,True,False
39,False,False
