source,destination
35,143
18,72
40,194
41,223
24,97
10,43
41,232
34,138
42,240
3,13
36,144
22,90
2,11
40,169
32,131
15,60
40,178
41,207
40,187
41,216
40,196
18,74
41,225
38,153
24,99
7,28
28,115
11,44
41,234
30,121
17,69
3,15
36,146
5,21
40,162
40,171
29,116
15,62
40,180
41,209
40,189
8,32
41,218
40,198
27,109
41,227
7,30
25,100
11,46
41,236
30,123
17,71
0,0
39,156
5,23
23,93
40,164
40,173
29,118
41,202
40,182
41,211
35,140
40,191
8,34
41,220
27,111
10,40
41,229
25,102
41,238
20,81
6,27
39,158
0,2
4,18
37,149
23,95
32,128
40,166
40,175
12,49
41,204
16,65
40,184
41,213
35,142
40,193
41,222
24,96
10,42
28,112
14,58
41,231
34,137
20,83
3,12
22,89
26,105
13,53
37,151
40,168
32,130
1,5
40,177
41,206
16,67
40,186
41,215
18,73
9,37
41,224
28,114
30,120
17,68
3,14
21,84
34,139
38,155
42,241
22,91
40,161
26,107
13,55
43,242
40,170
15,61
1,7
19,77
40,179
41,208
41,217
18,75
27,108
9,39
31,124
11,45
6,24
30,122
21,86
40,163
23,92
40,172
15,63
33,133
19,79
2,8
41,201
41,210
8,33
41,219
27,110
31,126
11,47
20,80
6,26
4,17
40,165
23,94
33,135
16,64
2,10
41,203
41,212
35,141
8,35
12,51
14,57
40,195
20,82
38,152
24,98
41,233
4,19
13,52
26,104
40,167
32,129
1,4
36,145
5,20
41,205
16,66
9,36
40,188
28,113
14,59
40,197
41,226
38,154
7,29
41,235
40,160
26,106
13,54
17,70
1,6
19,76
5,22
36,147
29,117
40,181
9,38
40,190
40,199
41,228
21,85
7,31
25,101
41,237
43,243
39,157
0,1
33,132
19,78
37,148
41,200
40,174
41,214
29,119
12,48
40,183
31,125
40,192
41,221
6,25
10,41
41,230
21,87
4,16
25,103
34,136
41,239
39,159
0,3
22,88
33,134
2,9
37,150
40,176
12,50
40,185
31,127
14,56
