source,destination,label
74,96,False
68,20,True
63,102,False
8,16,True
73,39,False
32,52,False
74,58,False
65,143,False
28,143,False
71,23,False
20,102,False
56,10,True
75,73,False
36,75,False
62,100,True
72,84,False
53,133,False
59,13,False
55,27,True
49,79,False
66,109,False
68,126,True
70,73,False
0,56,False
72,46,False
51,25,True
51,131,False
20,124,True
4,38,False
59,54,False
51,82,False
72,0,True
51,83,True
24,84,False
74,110,False
0,37,False
68,68,False
28,21,True
71,75,False
24,68,False
44,127,False
48,116,True
57,137,False
73,53,False
74,72,False
32,28,True
68,69,False
28,119,True
32,134,False
75,65,False
72,48,False
8,76,False
72,76,False
69,147,False
57,50,False
36,135,False
24,49,False
72,38,False
32,88,True
20,47,False
65,107,False
75,57,False
69,71,False
28,50,False
54,45,False
36,120,True
72,92,False
57,94,True
4,15,True
58,52,False
28,51,False
63,58,False
74,102,False
0,24,True
20,67,False
24,33,True
73,45,False
74,64,False
12,42,False
52,6,True
28,70,False
16,81,False
8,40,False
12,99,False
72,40,False
51,39,False
68,113,True
36,13,False
12,129,False
40,113,True
52,41,False
66,108,True
75,107,False
65,62,False
64,16,True
73,37,False
74,56,False
62,56,False
32,12,False
16,101,False
62,57,False
52,85,True
73,95,False
8,128,False
53,43,False
20,103,True
54,89,False
75,113,True
8,25,True
72,90,False
28,106,True
75,63,False
61,30,True
32,34,True
67,145,False
44,95,False
12,7,True
36,54,False
72,52,False
32,72,False
74,108,True
63,103,True
4,116,True
74,2,True
55,90,False
28,125,True
8,6,True
72,82,False
65,106,True
20,141,False
50,80,True
16,65,False
69,115,False
28,133,False
67,110,False
28,11,True
24,142,False
50,4,True
63,141,False
24,104,False
72,54,False
75,105,True
4,39,False
56,48,False
73,89,False
0,57,False
24,105,True
52,118,True
61,139,False
53,87,False
16,80,True
73,51,False
32,53,False
74,70,False
74,100,True
20,19,True
62,14,True
73,79,False
71,35,False
12,78,True
4,58,False
12,117,True
49,129,False
36,126,True
68,146,False
75,97,True
58,12,False
24,20,True
40,146,False
40,29,False
60,96,False
69,34,True
8,77,True
60,97,True
75,115,False
72,88,True
32,108,True
56,136,False
0,30,True
65,32,True
44,147,False
55,46,False
56,120,True
58,53,False
62,101,False
36,145,False
59,55,False
20,46,False
55,47,False
66,18,True
55,9,True
8,96,False
75,67,False
73,81,False
72,80,True
66,125,True
24,69,False
66,64,False
73,93,True
54,8,True
8,31,True
73,43,False
62,123,True
74,62,False
74,114,True
64,60,False
56,92,False
58,121,False
56,93,True
63,59,False
36,91,True
0,14,True
73,85,True
72,50,False
50,36,False
67,66,False
74,106,True
60,138,False
16,26,True
75,69,False
12,62,False
67,67,False
8,60,False
32,89,False
4,122,True
48,128,False
73,77,True
40,92,False
75,99,False
72,42,False
55,91,True
74,98,True
16,140,False
36,90,False
75,111,True
75,61,False
12,43,False
44,115,False
49,78,True
65,17,True
60,122,True
8,41,False
73,87,False
16,44,False
20,82,False
73,49,False
52,132,False
74,68,False
24,132,False
53,86,True
57,11,True
16,18,True
57,95,False
72,94,True
72,44,False
36,74,False
0,36,False
64,142,False
70,22,False
69,21,True
20,131,False
73,91,True
67,111,True
74,60,False
64,104,False
75,103,True
48,77,True
75,75,False
72,86,True
72,36,False
36,55,False
24,10,True
32,73,False
61,99,False
51,5,True
28,87,False
44,137,False
48,76,False
73,41,False
56,49,False
69,70,False
54,44,False
70,72,False
8,97,True
20,9,True
50,81,False
16,100,True
49,24,True
4,59,False
12,98,True
24,48,False
73,83,True
28,107,False
20,66,False
57,51,False
63,31,True
72,78,True
71,74,False
52,40,False
50,130,False
16,32,True
32,144,False
12,79,False
66,65,False
40,136,False
75,59,False
4,5,True
64,61,False
62,140,False
55,135,False
20,118,True
67,19,True
53,42,False
28,71,False
0,4,True
16,130,False
44,121,False
44,94,True
12,139,False
59,29,False
54,134,False
74,112,False
65,63,False
53,7,True
50,37,False
36,110,False
73,55,False
75,3,True
74,74,False
16,45,False
40,93,True
69,114,True
57,28,True
8,138,False
36,111,True
54,88,True
75,109,False
64,124,True
66,144,False
53,26,True
8,61,False
44,114,True
73,1,True
75,71,False
63,15,True
51,38,False
16,8,True
32,109,False
36,23,False
74,104,False
16,64,False
52,84,False
12,123,True
68,112,False
12,17,True
70,127,False
40,112,False
67,33,True
73,47,False
74,66,False
24,85,True
75,101,False
40,35,False
64,105,True
54,119,True
20,83,True
32,22,False
12,63,False
61,98,True
50,117,True
24,27,True
28,86,True
