index,is_in_good_operators
0,True
1,True
2,True
3,False
4,True
5,True
6,True
7,True
8,True
9,False
10,True
11,True
12,False
13,False
14,False
15,True
16,True
17,True
18,False
19,False
20,False
21,False
22,False
23,False
24,True
25,True
26,True
27,False
28,True
29,True
30,False
31,False
32,False
33,True
34,True
35,True
36,True
37,True
38,False
39,False
40,False
41,True
42,False
43,True
44,True
45,False
46,False
47,False
48,False
49,True
50,True
51,True
52,True
53,True
54,True
55,False
56,False
57,False
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,False
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,False
98,False
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,False
108,False
109,False
110,False
111,False
112,True
113,True
114,False
115,False
116,True
117,False
118,False
119,False
120,True
121,True
122,False
123,False
124,True
125,True
126,False
127,False
128,False
129,False
130,True
131,True
132,False
133,False
134,True
135,True
136,False
137,False
138,True
139,True
140,False
141,False
142,False
143,False
144,False
145,False
146,False
147,False
148,True
149,True
150,False
151,False
152,True
153,False
154,False
155,False
156,True
157,True
158,False
159,False
160,True
161,True
162,False
163,False
164,True
165,False
166,True
167,False
168,True
169,True
170,True
171,False
172,False
173,True
174,False
175,True
176,True
177,False
178,False
179,False
180,False
181,False
182,True
183,False
184,True
185,True
186,True
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,False
201,False
202,False
203,False
204,False
205,False
206,False
207,False
208,False
209,False
210,False
211,True
212,False
213,False
214,False
215,False
