source,destination,label
32,90,False
149,105,False
153,47,False
105,94,False
78,90,True
141,103,False
50,90,True
75,55,True
112,73,False
130,32,True
159,53,True
146,82,True
119,23,True
146,44,True
145,104,False
175,65,True
111,17,True
31,113,True
84,90,False
98,70,True
3,113,True
142,81,True
20,15,False
172,88,False
96,5,False
127,29,True
151,106,True
83,113,True
48,36,False
148,82,False
12,9,False
125,99,False
41,30,False
161,108,False
124,26,False
114,74,True
64,48,False
117,20,False
165,109,False
51,113,True
111,96,True
40,30,False
147,105,True
118,75,True
110,73,True
121,98,False
56,42,False
169,59,False
92,68,False
62,46,True
128,77,False
27,19,True
4,90,False
107,95,True
98,8,True
132,78,False
168,87,False
124,76,False
46,34,True
93,91,False
4,3,False
127,100,True
33,24,False
140,38,False
109,14,False
133,32,False
108,72,False
123,99,True
37,113,False
38,28,True
85,63,False
94,69,True
162,56,True
73,113,False
80,90,False
52,90,False
132,32,False
161,53,False
24,90,False
97,5,False
54,40,True
104,71,False
70,90,True
43,31,True
155,107,True
162,86,True
177,65,False
5,113,False
114,20,True
143,41,True
90,68,True
23,113,True
18,90,True
2,90,True
9,113,False
35,25,True
49,36,False
125,26,False
176,89,False
57,113,False
29,113,False
155,50,True
91,2,True
75,113,True
72,90,False
42,90,True
171,62,True
107,14,True
70,52,True
175,112,True
170,62,True
43,113,True
106,14,True
135,35,True
15,113,True
10,90,True
99,8,True
171,111,True
84,63,False
6,4,True
77,113,False
13,9,False
63,46,True
67,113,True
62,90,True
46,90,True
34,90,True
72,54,False
136,35,False
134,35,True
65,48,False
138,80,True
163,56,True
1,0,False
174,89,True
148,44,False
141,38,False
52,39,False
34,25,True
81,60,False
164,56,False
151,47,True
103,94,True
128,29,False
157,50,False
80,60,False
44,90,False
157,107,False
36,27,False
22,16,True
164,86,False
51,37,True
143,104,True
29,21,False
156,50,False
154,84,True
176,65,False
112,17,False
122,26,True
117,97,False
105,11,False
45,33,False
158,85,True
28,21,False
57,42,False
150,83,True
86,64,True
104,11,False
44,33,False
93,2,False
73,54,False
50,37,True
79,58,True
144,81,False
15,10,True
49,113,False
89,66,True
21,113,False
28,90,False
120,23,False
16,90,False
134,79,True
0,90,False
149,44,False
173,62,False
64,90,False
177,112,False
133,101,False
78,58,True
14,10,True
122,76,True
7,4,True
21,15,False
172,62,False
30,22,True
137,102,False
101,8,False
173,111,False
119,98,True
37,27,False
126,77,True
30,90,True
150,47,True
100,70,False
85,113,False
69,113,False
42,31,True
41,113,False
71,52,True
36,90,False
20,90,False
31,22,True
8,90,False
82,90,True
66,90,True
54,90,True
140,80,False
165,56,False
96,69,False
87,64,True
142,41,True
153,106,False
102,11,True
131,32,True
106,72,True
35,113,True
19,113,True
23,16,True
158,53,True
7,113,True
14,90,True
147,44,True
139,103,True
116,74,False
95,92,True
22,90,True
113,17,False
102,71,True
32,24,False
113,96,False
120,75,False
13,113,False
166,59,True
87,113,True
156,84,False
71,113,True
99,93,True
59,113,True
38,90,True
95,5,True
86,90,True
60,45,False
74,90,True
109,95,False
160,85,False
24,18,False
167,110,True
94,5,True
123,26,True
55,113,True
39,113,True
27,113,True
6,90,True
8,6,False
139,38,True
115,97,True
115,20,True
77,57,False
79,113,True
88,67,True
58,90,True
0,0,False
53,39,False
76,57,False
58,43,True
100,8,False
16,12,False
129,29,False
69,51,False
5,3,False
152,47,False
74,55,True
92,2,False
116,20,False
145,41,False
168,59,False
68,51,False
68,90,False
10,7,True
39,28,True
56,90,False
17,12,False
144,41,False
170,88,True
101,93,False
66,49,True
2,1,True
26,19,True
55,40,True
110,17,True
169,110,False
160,53,False
126,29,True
25,113,False
97,92,False
121,23,False
61,45,False
163,109,True
67,49,True
3,1,True
61,113,False
45,113,False
108,14,False
129,100,False
33,113,False
40,90,False
137,35,False
174,65,True
12,90,False
136,79,False
83,61,True
19,13,True
76,90,False
60,90,False
103,11,True
48,90,False
9,6,False
90,2,True
82,61,True
18,13,True
159,108,True
47,34,True
130,78,True
166,87,True
11,113,True
135,102,True
1,113,False
11,7,True
25,18,False
91,91,True
47,113,True
26,90,True
118,23,True
138,38,True
167,59,True
152,83,False
17,113,False
131,101,True
81,113,False
59,43,True
65,113,False
63,113,True
154,50,True
53,113,False
