source,destination,label
53,73,False
44,5,False
25,76,False
53,59,True
30,12,False
42,44,False
27,79,True
31,44,False
36,18,True
50,29,False
47,17,False
19,68,False
30,66,True
42,54,True
31,48,False
42,68,False
21,71,True
30,29,False
38,24,False
31,34,True
42,58,True
42,72,False
9,55,True
31,61,False
39,30,True
37,20,False
13,61,False
1,44,False
30,13,False
30,43,True
31,7,True
3,47,True
32,2,True
18,67,True
53,65,False
30,17,False
53,69,False
34,8,False
53,55,True
43,1,False
30,8,False
31,35,True
31,11,True
31,80,False
50,31,True
30,58,True
10,57,False
53,79,True
30,32,False
30,62,True
42,50,True
42,64,False
33,4,False
30,36,False
0,42,True
31,41,True
22,72,False
30,75,True
48,21,False
31,57,False
30,25,False
30,79,True
31,30,True
42,78,True
36,16,False
30,9,False
31,3,True
53,61,False
51,33,False
35,12,False
52,39,True
7,52,False
30,63,True
6,51,True
27,78,True
30,67,True
31,31,True
45,11,True
31,76,False
44,7,True
30,54,True
41,36,False
42,42,True
32,0,False
42,56,False
53,75,True
53,51,True
16,65,False
30,28,False
30,4,False
31,22,True
42,46,True
42,60,False
9,54,True
48,23,True
4,49,False
31,49,False
30,71,True
31,53,False
30,42,True
42,74,True
31,26,True
49,27,True
18,66,True
53,53,False
30,5,False
30,46,True
31,10,True
38,26,True
31,77,False
53,57,False
24,75,True
31,39,True
31,81,False
53,43,True
30,59,True
31,23,True
49,25,False
46,15,True
31,68,False
12,59,True
41,38,True
31,27,True
10,56,False
31,72,False
30,50,True
42,52,False
25,77,False
53,71,True
53,47,True
30,24,False
30,0,False
21,70,True
31,45,False
31,56,False
39,28,False
19,69,False
30,37,False
30,78,True
42,66,True
31,18,True
31,60,False
42,80,False
15,62,True
13,60,False
31,2,True
7,53,False
42,70,True
53,49,False
30,1,False
3,46,True
31,73,False
30,51,True
30,40,True
1,45,False
47,19,True
30,55,True
31,19,True
31,6,True
31,64,False
28,80,False
53,77,False
51,35,True
35,14,True
53,63,True
53,81,False
16,64,False
30,16,False
42,48,False
15,63,True
53,67,True
37,22,True
30,20,False
4,48,False
30,70,True
31,52,False
28,81,False
43,3,True
30,33,False
30,74,True
31,38,True
31,14,True
42,62,True
24,74,True
42,76,False
40,34,True
34,10,True
0,43,True
31,65,False
12,58,True
53,45,False
22,73,False
31,69,False
46,13,False
33,6,True
52,37,False
30,47,True
45,9,False
40,32,False
30,21,False
6,50,True
31,15,True
