index,is_in_good_operators
0,False
1,False
2,True
3,True
4,False
5,False
6,True
7,True
8,False
9,False
10,True
11,True
12,False
13,False
14,True
15,True
16,False
17,False
18,True
19,True
20,False
21,False
22,True
23,True
24,False
25,False
26,True
27,True
28,False
29,False
30,True
31,True
32,False
33,False
34,True
35,True
36,False
37,False
38,True
39,True
40,False
41,False
42,True
43,True
44,False
45,False
46,True
47,True
48,False
49,False
50,True
51,True
52,False
53,False
54,True
55,True
56,False
57,False
58,True
59,True
60,False
61,False
62,True
63,True
64,False
65,False
66,True
67,True
68,False
69,False
70,True
71,True
72,False
73,False
74,True
75,True
76,False
77,False
78,True
79,True
80,False
81,False
82,True
83,True
84,False
85,False
86,True
87,True
88,False
89,False
90,True
91,True
92,False
93,False
94,True
95,True
96,False
97,False
98,True
99,True
100,False
101,False
102,True
103,True
104,False
105,False
106,True
107,True
108,False
109,False
110,True
111,True
112,False
113,False
114,True
115,True
116,False
117,False
118,True
119,True
120,False
121,False
122,True
123,True
124,True
125,True
126,True
127,True
128,False
129,False
130,True
131,True
132,False
133,False
134,True
135,True
136,False
137,False
138,True
139,True
140,False
141,False
142,True
143,True
144,False
145,False
146,True
147,True
148,False
149,False
150,True
151,True
152,False
153,False
154,True
155,True
156,False
157,False
158,True
159,True
160,False
161,False
162,True
163,True
164,False
165,False
166,True
167,True
168,False
169,False
170,True
171,True
172,False
173,False
174,True
175,True
176,False
177,False
178,True
179,True
180,False
181,False
182,True
183,True
184,False
185,False
186,True
187,True
188,False
189,False
190,True
191,True
192,False
193,False
194,True
195,True
196,False
197,False
198,True
199,True
200,False
201,False
202,True
203,True
204,False
205,False
206,True
207,True
208,False
209,False
210,True
211,True
212,False
213,False
214,True
215,True
216,False
217,False
218,True
219,True
220,False
221,False
222,True
223,True
224,False
225,False
226,True
227,True
228,False
229,False
230,True
231,True
232,False
233,False
234,True
235,True
236,False
237,False
238,True
239,True
240,False
241,False
242,True
243,True
244,False
245,False
246,True
247,True
248,False
249,False
