source,destination
6,18
27,105
26,85
27,114
26,94
27,123
24,72
21,64
26,78
6,20
27,107
26,87
17,51
27,116
26,96
19,57
27,125
16,49
12,36
9,28
14,42
24,74
26,80
27,109
7,21
26,89
17,53
22,67
27,118
19,59
27,127
0,0
15,46
12,38
14,44
8,25
25,75
10,31
26,82
27,111
7,23
26,91
27,120
3,10
0,2
5,16
1,3
27,104
26,84
27,113
27,122
23,70
1,5
18,55
26,77
27,106
11,34
27,115
4,13
26,98
2,6
24,73
20,60
27,108
17,52
22,66
27,117
13,39
26,100
15,45
12,37
2,8
8,24
10,30
20,62
27,110
22,68
3,9
26,93
13,41
26,102
15,47
8,26
25,76
27,103
10,32
21,63
6,19
23,69
26,86
3,11
26,95
27,124
16,48
1,4
18,54
9,27
11,33
21,65
26,79
23,71
26,88
4,12
26,97
19,58
27,126
16,50
18,56
9,29
14,43
11,35
26,81
7,22
26,90
27,119
4,14
26,99
27,128
0,1
5,15
2,7
20,61
26,83
27,112
26,92
13,40
27,121
26,101
5,17
