index,is_init,is_goal
0,True,False
1,False,True
2,False,False
3,True,False
4,False,True
5,False,False
6,True,False
7,False,True
8,False,False
9,True,False
10,False,True
11,False,False
12,True,False
13,False,True
14,False,False
15,True,False
16,False,True
17,False,False
18,True,False
19,False,True
20,False,False
21,True,False
22,False,True
23,False,False
24,True,False
25,False,True
26,False,False
27,True,False
28,False,True
29,False,False
30,True,False
31,False,True
32,False,False
33,True,False
34,False,False
35,False,False
36,False,False
37,False,False
38,False,False
39,False,False
40,False,False
41,False,False
42,False,False
43,False,False
44,False,False
45,False,False
46,True,False
47,False,False
48,False,False
49,False,False
50,False,False
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,False,False
58,True,False
