source,destination
6,82
8,110
5,65
7,99
3,22
3,31
2,11
4,39
4,48
6,75
6,84
7,92
5,67
3,15
7,101
11,117
3,24
3,33
1,8
4,41
4,50
12,118
6,77
5,60
7,94
9,113
5,69
0,0
3,17
3,26
4,34
4,43
4,52
5,53
5,62
5,71
0,2
3,19
3,28
7,108
4,36
4,45
5,55
5,64
10,115
3,21
3,30
1,5
4,38
2,13
4,47
8,111
5,57
6,86
5,66
11,116
3,23
7,103
1,7
4,40
6,79
5,59
9,112
6,88
5,68
3,16
3,25
7,96
7,105
13,121
1,9
6,72
6,81
5,61
6,90
5,70
3,18
7,98
7,107
0,4
4,35
2,10
6,74
5,54
6,83
5,63
7,91
7,100
7,109
3,32
2,12
4,49
6,76
5,56
6,85
7,93
7,102
1,6
2,14
4,42
4,51
12,119
6,78
5,58
6,87
7,95
7,104
0,1
13,120
3,27
4,44
6,80
6,89
7,97
10,114
7,106
0,3
3,20
3,29
4,37
4,46
6,73
