source,destination,label
45,261,True
14,224,False
16,201,False
80,45,False
52,296,False
2,263,False
78,40,False
75,245,False
55,304,False
42,255,False
3,90,False
54,301,False
0,261,True
82,303,False
60,5,False
11,154,True
58,0,False
75,35,False
5,107,False
40,259,False
15,188,False
18,228,False
3,91,False
17,203,False
24,221,True
84,305,False
43,256,False
28,241,False
88,258,False
79,42,False
68,289,False
1,78,False
33,215,False
53,299,False
76,36,False
45,263,False
46,271,False
8,269,False
7,122,False
69,22,True
72,29,False
73,31,False
14,178,False
81,302,False
71,26,False
72,242,False
2,83,False
12,164,False
0,67,False
77,38,False
46,274,False
10,149,False
67,237,False
16,196,False
7,125,False
20,230,False
8,133,False
17,206,False
79,43,False
89,62,False
74,295,False
1,79,False
15,191,False
78,248,False
6,120,False
13,175,False
47,280,False
66,287,False
4,265,False
2,212,True
6,216,False
6,121,False
60,281,False
27,240,False
9,140,False
86,256,False
71,241,False
90,64,False
14,181,False
5,110,False
5,266,False
11,157,False
2,86,False
66,17,False
63,233,False
9,141,False
12,167,False
48,282,False
0,70,False
16,226,False
46,277,False
41,254,False
64,13,False
10,152,False
85,306,False
1,81,False
70,291,False
7,128,False
87,59,False
8,136,False
10,220,False
50,289,False
39,252,False
14,184,False
45,266,False
5,113,False
3,97,False
30,214,False
64,285,False
31,244,False
82,48,False
0,73,False
68,238,False
49,287,False
4,101,False
65,15,False
82,252,False
62,8,False
45,269,False
9,143,False
58,279,False
1,74,False
15,186,False
56,307,False
6,115,False
21,211,False
84,254,False
13,170,False
16,199,False
37,250,False
2,89,False
83,50,False
4,104,False
17,209,False
27,234,False
3,92,True
59,3,False
6,116,False
81,46,False
35,248,False
53,297,False
17,278,False
8,218,False
57,309,False
39,217,False
77,298,False
54,302,False
84,52,False
62,283,False
15,276,False
41,260,False
10,147,False
1,76,False
70,24,False
8,131,False
11,160,False
58,1,False
14,179,False
68,20,False
5,108,False
51,293,False
15,189,False
6,118,False
13,173,False
1,262,False
77,39,False
83,304,False
74,244,False
59,229,False
78,41,False
67,288,True
12,222,False
55,305,False
8,134,False
76,37,False
12,162,False
33,224,False
9,138,False
29,242,False
89,63,False
46,272,False
81,251,False
42,218,False
18,210,False
19,229,False
16,194,False
60,230,False
7,123,False
7,268,False
4,99,False
17,204,False
10,150,False
12,165,False
87,308,False
0,68,False
17,205,False
3,94,False
63,10,False
90,65,False
45,264,False
70,240,False
5,111,False
3,95,False
4,214,False
61,6,False
33,246,False
85,255,False
49,285,False
73,294,False
50,288,True
39,258,False
64,234,False
25,238,False
11,272,False
47,281,False
71,27,False
11,155,False
2,84,False
9,139,False
45,267,False
46,275,False
69,23,False
9,270,True
13,274,False
16,197,False
7,126,False
4,102,False
17,207,False
29,236,False
86,307,False
23,233,False
11,158,False
69,239,True
2,87,False
15,192,False
30,223,False
89,259,False
48,283,False
12,168,False
0,71,False
13,176,False
44,257,False
36,216,False
10,153,False
80,44,False
8,137,False
46,270,True
52,295,False
27,213,False
79,300,False
83,253,False
21,220,False
71,292,False
54,300,False
60,4,False
88,60,False
58,228,False
2,82,True
90,311,False
46,278,False
77,247,False
86,56,False
51,291,False
65,286,False
16,200,False
4,103,False
7,129,False
84,53,False
9,144,False
50,290,False
10,271,False
14,185,False
1,211,False
55,303,False
11,161,False
81,47,False
76,297,False
83,51,False
21,231,False
9,145,False
39,226,False
87,257,False
75,296,False
75,34,False
62,232,False
11,221,True
15,225,False
17,202,False
73,30,False
3,264,False
5,106,False
69,290,False
15,187,False
56,308,False
73,243,False
12,163,False
0,66,False
13,171,False
61,282,False
4,105,False
14,275,False
5,215,False
10,148,False
1,77,False
6,117,False
26,239,True
70,25,False
8,132,False
53,298,False
24,212,True
45,262,False
0,210,False
74,32,False
42,227,False
66,236,False
47,279,False
57,310,False
46,273,False
36,249,False
57,311,False
80,301,False
4,98,False
7,124,False
13,223,False
14,180,False
68,21,False
5,109,False
88,309,False
2,85,False
15,190,False
18,219,False
66,16,False
3,93,False
6,119,False
0,69,False
13,174,False
72,28,False
10,151,False
1,80,False
87,58,False
8,135,False
63,11,False
74,33,False
28,235,False
45,265,False
40,253,False
15,193,False
6,267,False
13,177,False
16,195,False
67,18,False
79,249,False
49,286,False
4,100,False
17,227,False
67,19,True
11,156,False
64,12,False
14,182,False
30,243,False
12,166,False
34,247,False
9,142,False
46,276,False
36,225,False
65,235,False
59,280,False
14,183,False
5,112,False
85,54,False
12,273,False
3,213,False
88,61,False
7,127,False
3,96,False
17,208,False
27,222,False
61,7,False
72,293,False
59,2,False
13,172,True
76,246,False
85,55,False
61,231,False
52,294,False
65,14,False
82,49,False
45,268,False
9,219,False
56,306,False
6,114,False
38,251,False
90,260,False
16,198,False
62,9,False
78,299,False
63,284,False
22,232,False
16,277,False
10,146,False
7,217,False
1,75,False
86,57,False
8,130,False
11,159,False
2,88,False
32,245,False
48,284,False
12,169,False
0,72,False
89,310,False
80,250,False
24,237,False
51,292,False
