source,destination,label
118,67,False
150,69,False
143,53,False
165,23,False
241,62,False
83,26,False
184,41,False
195,63,False
58,10,False
21,4,False
144,53,False
245,56,False
173,19,False
2,78,False
123,30,False
225,40,False
19,2,False
92,45,True
44,8,True
209,18,False
142,52,False
223,38,False
121,29,False
207,16,False
218,15,False
235,56,False
23,1,False
186,35,False
231,36,False
18,0,False
156,72,False
116,67,True
178,39,False
6,82,True
203,59,False
70,10,False
109,66,False
164,21,True
126,31,False
49,9,False
93,45,False
228,43,False
246,55,False
27,1,True
31,1,False
26,0,False
140,51,True
124,30,False
204,61,True
236,57,False
34,6,False
134,48,False
220,35,False
161,15,False
129,33,False
133,48,False
198,59,False
86,27,True
244,55,False
159,74,False
214,23,False
226,41,True
16,3,False
77,25,False
38,5,False
127,32,False
125,31,True
167,17,False
115,67,False
153,71,False
229,44,False
14,1,False
152,70,True
75,25,False
227,42,False
187,37,True
146,54,False
105,65,False
239,60,False
99,47,False
233,36,False
166,15,False
46,5,False
94,46,False
11,85,False
193,59,False
160,74,False
170,23,False
8,84,False
111,66,True
211,20,False
215,24,False
106,65,True
63,11,False
200,63,False
57,14,False
53,8,False
135,49,False
216,15,False
4,80,True
104,65,False
102,47,True
154,71,False
13,87,False
25,4,False
51,6,False
128,32,False
97,46,True
71,11,False
42,5,False
232,35,False
81,26,True
230,35,False
62,10,False
100,47,False
76,25,True
183,39,False
194,61,True
197,57,False
224,39,False
95,46,False
41,9,False
169,21,True
50,5,False
222,37,False
47,6,True
192,57,False
242,63,False
208,17,False
59,12,False
87,27,False
145,54,False
54,11,False
82,26,False
120,28,False
136,49,False
89,45,False
185,43,False
206,15,False
210,19,False
201,55,False
84,27,False
191,55,False
243,64,False
141,52,False
205,63,False
177,37,True
64,13,True
113,66,False
117,67,False
91,45,False
108,65,False
12,88,False
139,51,False
48,7,False
131,34,False
43,6,False
122,29,False
30,0,False
179,41,False
163,19,False
148,68,False
67,11,True
132,34,False
217,16,False
85,27,False
158,73,False
168,19,False
66,10,False
219,16,False
171,15,False
247,56,False
130,33,False
175,23,False
24,3,True
65,14,False
151,70,False
90,45,False
36,8,False
22,0,False
60,13,False
78,25,False
213,22,True
237,58,False
155,72,False
0,76,False
7,81,True
73,13,False
32,2,False
9,83,False
181,35,False
147,68,False
88,27,False
5,79,True
176,35,False
221,36,False
114,67,False
119,28,False
3,77,False
79,26,False
29,4,False
149,69,False
39,7,False
74,25,False
17,4,False
172,17,False
52,7,False
188,39,False
61,14,False
112,66,False
20,3,False
199,61,True
138,50,False
202,57,False
72,12,False
56,13,False
107,65,False
15,2,False
33,3,False
101,47,False
174,21,True
180,43,False
28,2,False
1,75,False
240,61,False
80,26,False
37,9,False
157,73,False
234,55,False
103,47,False
69,14,False
162,17,False
110,66,False
190,43,False
40,8,False
98,46,False
212,21,False
196,55,False
96,46,False
35,7,False
10,86,False
137,50,False
182,37,True
45,9,False
55,12,False
68,12,False
189,41,False
238,59,True
