source,destination
18,72
8,46
35,106
10,52
0,5
3,22
19,73
4,30
26,87
33,102
10,54
17,69
3,24
40,116
1,8
24,83
9,49
10,56
0,0
31,97
3,26
38,112
5,32
1,10
8,43
9,51
11,57
29,93
0,2
6,36
4,27
15,66
1,12
18,71
36,107
25,86
8,45
42,120
22,80
3,21
6,38
43,121
4,29
13,62
16,67
2,13
34,103
33,101
8,47
20,76
23,81
41,117
3,23
7,39
40,115
1,7
27,90
2,15
30,95
37,110
9,48
21,77
3,25
7,41
38,111
1,9
28,91
2,17
5,34
9,50
14,64
32,100
6,35
35,105
0,4
1,11
39,114
2,19
25,85
8,44
12,60
29,94
6,37
10,53
4,28
13,61
19,74
36,108
20,75
26,88
10,55
43,122
17,70
1,6
27,89
16,68
2,14
5,31
34,104
37,109
24,84
23,82
41,118
7,40
0,1
31,98
2,16
5,33
15,65
30,96
14,63
32,99
21,78
42,119
22,79
7,42
11,58
0,3
3,20
39,113
28,92
2,18
12,59
