source,destination,label
136,10,False
89,6,False
21,17,False
7,9,False
86,10,False
96,8,False
127,8,False
159,10,False
39,25,False
109,8,False
99,10,False
155,69,True
110,41,False
135,61,False
5,7,False
98,10,False
40,25,False
157,8,False
107,6,False
54,33,False
96,49,False
1,5,False
101,69,False
99,49,False
130,10,False
123,43,False
147,10,False
52,31,False
91,8,False
97,8,False
33,23,False
129,10,False
139,69,False
120,8,False
158,10,False
79,8,False
142,10,False
73,1,False
82,10,False
142,69,False
150,8,False
77,6,False
81,10,False
126,55,False
45,29,False
138,8,False
66,39,False
84,61,False
113,6,False
100,10,False
76,2,False
93,43,False
140,10,False
140,65,False
41,27,False
4,7,True
90,8,False
153,10,False
71,2,False
20,15,False
134,59,False
129,55,False
60,35,False
82,51,False
6,9,False
126,8,False
25,19,False
136,63,False
139,8,False
57,35,False
133,63,False
130,57,False
102,67,False
83,6,False
121,8,False
111,10,False
56,33,True
118,51,False
23,17,False
122,41,False
34,23,False
78,49,False
69,2,False
100,51,False
110,10,False
152,59,True
53,33,False
116,10,True
113,51,False
83,63,False
32,21,False
128,53,False
67,39,False
19,15,False
51,31,False
131,63,False
108,43,False
28,19,True
132,8,False
74,4,True
156,67,True
68,39,True
104,10,False
35,23,False
94,10,False
160,10,False
92,10,False
150,61,False
24,17,True
65,39,False
114,8,True
141,67,False
152,10,True
12,11,False
153,61,False
155,6,True
103,69,False
31,21,False
104,65,False
26,19,True
11,11,False
102,8,False
59,35,False
87,61,False
84,8,False
80,10,False
97,51,False
22,17,True
87,10,False
79,51,False
112,10,False
44,27,False
147,55,False
124,45,False
2,5,True
43,27,False
117,10,True
121,45,False
146,10,False
148,10,False
105,10,False
151,63,False
101,6,False
109,45,False
134,10,False
117,49,True
48,29,True
156,8,True
37,25,False
77,51,False
98,47,False
0,5,False
89,45,False
8,9,True
92,41,False
105,67,False
119,6,False
120,43,False
123,10,False
46,29,False
132,61,False
119,45,False
154,63,False
149,6,True
107,45,False
125,57,False
91,45,False
75,0,False
103,8,False
141,10,False
154,10,False
49,31,False
70,3,False
149,63,True
88,63,False
63,37,False
93,10,False
146,53,False
47,29,False
58,35,False
138,67,False
125,6,False
148,57,False
81,49,False
38,25,False
106,69,False
114,49,True
124,10,False
10,11,False
115,8,False
61,37,False
3,7,False
159,67,False
111,43,False
80,47,False
17,15,False
137,69,False
144,55,False
145,8,False
108,8,False
151,8,False
95,6,False
133,8,False
143,57,False
50,31,False
36,23,False
122,10,False
13,13,False
143,6,False
131,6,False
55,33,False
135,10,False
115,51,False
16,13,False
85,8,False
158,65,False
85,63,False
15,13,False
64,37,True
18,15,False
29,21,False
116,47,True
157,69,False
127,57,False
144,8,False
9,11,False
160,69,False
106,10,False
27,19,False
62,37,False
14,13,False
94,45,False
88,10,False
95,51,False
72,0,False
86,59,False
128,10,False
118,10,False
145,57,False
78,8,False
137,6,False
42,27,False
90,43,False
112,45,False
30,21,False
