source,destination,label
30,38,False
0,7,False
1,16,False
2,0,True
0,11,False
2,39,True
3,34,True
4,6,False
3,35,False
14,44,True
9,20,False
5,37,False
12,43,True
16,47,True
2,46,False
0,23,True
9,22,False
36,11,False
34,8,False
0,30,False
7,16,False
14,45,True
2,45,True
4,36,False
9,21,True
34,10,False
0,3,False
11,23,True
1,12,False
34,9,True
2,9,True
0,31,False
2,13,True
16,46,False
30,39,True
2,1,True
12,41,False
1,4,False
7,18,False
1,8,False
2,17,False
11,24,False
32,4,False
1,32,False
11,25,True
11,26,False
36,12,False
2,44,True
12,42,True
32,6,False
0,29,False
36,14,False
1,38,False
0,28,True
31,27,True
36,13,True
4,26,False
3,40,True
0,19,False
2,47,True
4,14,False
2,41,False
4,18,False
30,40,True
7,15,False
9,19,False
2,42,True
7,17,False
4,22,False
32,3,False
2,2,True
2,5,False
34,7,False
10,40,True
32,5,False
1,20,False
0,15,False
8,39,True
1,24,False
2,43,True
2,33,False
4,10,False
6,38,False
2,21,True
2,25,True
