index,is_in_good_operators
0,True
1,False
2,True
3,False
4,True
5,False
6,False
7,True
8,False
9,True
10,False
11,True
12,False
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,True
21,True
22,False
23,True
24,True
25,False
26,True
27,True
28,False
29,True
30,True
31,True
32,True
33,True
34,True
35,True
36,False
37,False
38,True
39,True
40,False
41,True
42,True
43,True
44,True
45,True
46,False
47,True
48,False
49,False
50,True
51,False
52,True
53,False
54,True
55,True
56,True
57,True
58,True
59,True
60,True
61,True
62,True
63,False
64,False
65,False
66,False
67,False
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,True
77,True
78,True
79,True
80,True
81,True
82,True
83,True
84,True
