index,is_init,is_goal
0,False,False
1,True,False
2,False,False
3,False,True
4,False,False
5,False,False
6,False,False
7,True,False
8,False,False
9,False,True
10,False,False
11,False,False
12,False,False
13,True,False
14,False,False
15,False,True
16,False,False
17,False,False
18,False,False
19,False,False
20,True,False
21,False,False
22,False,False
23,False,False
24,False,False
25,True,False
26,False,False
27,False,False
28,False,False
29,False,False
30,True,False
31,False,False
32,False,False
33,False,False
34,True,False
35,False,False
