source,destination,label
10,165,False
32,101,False
34,67,False
22,145,False
25,10,False
29,55,False
9,96,False
23,169,False
6,129,True
4,95,False
21,125,False
28,113,False
17,200,False
12,199,False
8,34,False
29,134,False
26,32,False
21,137,True
25,203,False
19,72,False
32,188,False
14,71,False
21,126,False
1,174,False
20,26,True
22,148,False
29,47,False
9,99,False
1,125,False
19,91,False
20,121,False
23,161,False
4,76,False
17,203,False
14,101,False
22,4,True
20,15,False
15,120,False
30,151,False
18,43,False
24,182,False
3,14,False
2,140,False
25,195,False
19,75,False
32,180,False
17,154,False
21,3,True
33,193,False
33,98,False
29,118,True
35,171,False
3,15,False
23,74,False
3,44,False
24,84,False
32,65,False
9,80,False
15,169,False
20,113,False
32,93,False
8,18,False
11,181,False
32,172,False
3,45,False
20,116,True
25,92,False
10,119,False
29,126,False
33,185,False
21,129,True
33,90,False
22,53,False
24,8,False
4,60,False
31,104,False
29,138,True
26,36,True
35,163,False
1,127,False
0,108,True
20,17,False
24,76,False
24,87,False
18,56,False
2,190,False
21,41,False
25,100,False
8,49,True
32,85,False
22,140,False
22,151,False
16,185,False
29,39,False
19,105,False
23,164,False
4,79,False
15,123,False
20,108,True
30,143,False
18,57,False
26,16,False
16,136,False
33,177,False
11,135,False
25,198,False
34,198,False
31,96,False
29,130,True
26,28,True
33,62,False
3,29,True
7,144,False
27,49,True
21,33,False
27,144,False
32,77,False
33,169,False
22,143,False
3,47,False
29,31,False
9,83,False
23,156,False
0,157,False
14,85,False
13,22,False
30,135,False
18,27,False
24,177,False
6,178,False
16,139,False
25,190,False
25,201,False
32,164,False
27,152,False
7,193,False
27,57,False
28,42,False
22,45,False
22,56,False
23,69,False
13,52,False
27,136,False
33,161,False
24,79,False
24,90,False
29,23,False
28,149,False
22,48,True
9,64,False
19,89,False
25,103,False
21,28,True
30,127,False
23,167,False
32,156,False
12,197,False
0,111,False
5,113,False
29,15,False
33,74,False
34,190,False
31,88,False
12,148,False
10,117,True
7,147,False
20,12,False
20,23,False
24,82,False
18,40,False
25,95,False
25,106,False
32,69,False
20,24,True
21,37,True
20,119,False
23,159,False
4,63,False
17,201,False
34,103,False
5,162,False
18,41,False
3,12,False
25,193,False
17,152,False
34,182,False
31,80,False
12,151,False
34,87,False
22,154,False
28,34,False
4,93,False
13,37,True
23,72,False
13,55,False
8,32,False
32,61,False
3,31,False
28,18,False
28,141,False
9,67,False
21,29,True
20,111,False
14,69,False
10,166,False
28,30,True
4,94,False
21,124,False
21,135,False
34,95,False
30,119,False
1,172,False
35,199,False
27,13,False
22,146,False
27,41,False
21,138,True
18,25,True
22,51,False
9,97,False
16,137,True
27,25,True
23,170,False
23,64,False
23,75,False
33,106,False
28,38,True
27,120,False
8,35,False
24,180,False
24,85,False
28,133,False
19,73,False
32,200,False
21,39,False
25,98,False
29,154,False
26,52,False
30,111,False
11,182,False
22,59,False
23,6,False
4,77,False
24,181,False
22,5,True
35,191,False
27,33,False
21,130,True
11,133,False
20,122,False
17,155,False
31,72,False
34,174,False
34,79,False
25,11,False
8,16,False
24,172,False
20,18,False
6,130,True
28,125,False
25,196,False
21,31,False
21,42,False
34,158,False
29,146,False
26,44,False
20,114,False
24,173,False
28,117,True
21,127,False
6,176,False
1,175,False
23,66,False
25,188,False
15,170,False
2,188,False
34,166,False
31,64,False
34,71,False
22,149,False
29,59,False
1,126,False
23,162,False
14,102,False
20,27,False
23,67,False
13,39,False
15,121,False
27,112,False
24,183,False
20,0,True
2,141,False
24,77,False
32,192,False
24,9,False
4,61,False
25,101,False
8,50,True
28,109,True
33,82,False
0,109,True
14,103,False
6,179,False
35,183,False
34,63,False
22,141,False
29,51,False
9,81,False
19,106,False
23,165,False
32,105,False
13,20,False
8,19,False
24,175,False
24,186,False
7,145,False
25,199,False
32,184,False
3,46,False
21,34,False
20,117,True
28,22,False
25,93,False
3,30,True
33,197,False
22,54,False
26,48,True
35,175,False
27,17,False
24,88,False
0,158,False
32,97,False
13,23,False
22,152,False
16,186,False
5,160,False
21,132,False
20,109,True
30,155,False
18,58,False
7,194,False
33,189,False
33,94,False
22,46,False
21,38,True
35,167,False
20,21,False
23,61,False
24,80,False
7,195,False
22,49,True
25,104,False
32,89,False
22,144,False
29,43,False
23,157,False
23,168,False
14,86,False
30,147,False
8,33,False
24,178,False
26,20,False
25,191,False
25,202,False
32,176,False
21,30,True
25,96,False
14,70,False
33,66,False
12,149,False
28,54,False
10,118,True
22,57,False
20,13,False
23,70,False
13,53,False
27,148,False
20,25,True
24,91,False
29,35,False
9,65,False
19,90,False
20,120,False
10,164,False
5,163,False
30,139,False
18,42,False
25,194,False
32,168,False
12,198,False
29,122,False
21,2,True
22,155,False
5,114,False
33,181,False
33,86,False
34,202,False
31,100,False
35,159,False
23,62,False
23,73,False
33,165,False
24,83,False
28,153,False
15,168,False
25,107,False
10,167,False
32,81,False
22,147,False
11,180,False
1,124,False
23,160,False
23,171,False
17,202,False
14,100,False
32,160,False
29,114,False
26,12,False
3,13,False
27,53,False
33,173,False
21,128,True
29,19,False
18,26,True
33,78,False
17,153,False
34,194,False
31,92,False
26,24,True
28,46,False
20,16,False
6,128,True
13,38,True
2,189,False
21,40,False
27,140,False
25,99,False
32,73,False
16,184,False
29,27,False
23,7,False
20,112,False
20,123,False
23,163,False
4,78,False
28,137,True
15,122,False
34,107,False
30,131,False
21,136,False
8,17,False
1,173,False
25,197,False
31,84,False
3,28,True
22,52,False
9,98,False
16,138,True
27,37,True
23,65,False
28,50,True
27,132,False
33,157,False
24,86,False
28,145,False
19,74,False
20,115,False
8,48,True
34,99,False
30,123,False
21,139,False
6,177,False
11,183,False
25,189,False
35,203,False
7,192,False
27,45,False
2,191,False
11,134,False
33,70,False
22,44,False
19,104,False
28,58,False
34,186,False
23,68,False
24,184,False
20,19,False
2,142,False
24,78,False
24,89,False
21,32,False
21,43,False
25,102,False
26,56,False
16,187,False
30,115,False
27,116,True
9,82,False
24,174,False
24,185,False
14,84,False
28,129,True
2,143,False
12,196,False
15,171,False
34,178,False
31,76,False
0,156,False
29,110,True
13,21,False
34,83,False
22,150,False
10,116,True
7,146,False
22,55,False
27,29,True
21,35,False
20,118,True
27,124,False
20,1,True
28,14,False
27,108,True
19,88,False
21,36,True
4,62,False
14,87,False
28,26,True
34,91,False
21,131,False
0,110,True
5,161,False
25,192,False
35,195,False
20,110,True
34,170,False
31,68,False
34,75,False
22,142,False
22,153,False
5,112,False
6,131,False
22,47,False
19,107,False
23,166,False
4,92,False
20,20,False
23,60,False
23,71,False
33,102,False
18,59,False
24,176,False
24,187,False
24,81,False
9,66,False
25,200,False
32,196,False
27,128,True
31,60,False
25,94,False
25,105,False
14,68,False
29,150,False
35,187,False
5,115,False
18,24,True
23,158,False
0,159,False
23,63,False
12,150,False
24,179,False
20,14,False
8,51,False
21,133,False
28,121,False
13,36,True
25,97,False
29,142,False
26,40,False
33,201,False
22,58,False
35,179,False
13,54,False
21,134,False
20,22,False
27,21,False
11,132,False
22,50,True
34,162,False
