source,destination,label
187,91,False
439,48,False
557,54,False
469,26,False
704,87,False
94,90,False
181,6,False
1057,98,False
47,83,False
372,42,False
1121,98,False
588,98,False
827,95,False
1120,11,False
900,10,False
301,94,False
964,97,False
891,95,False
358,95,False
365,94,False
283,2,False
135,91,False
1106,23,False
376,54,False
763,9,False
91,91,False
49,79,False
870,34,False
925,22,False
883,10,False
391,31,False
902,94,False
1110,35,False
767,21,False
172,88,False
915,95,False
874,46,False
389,94,False
929,34,False
738,57,False
802,10,False
816,58,False
159,91,False
822,94,False
296,93,False
223,91,False
1135,47,False
915,46,False
812,92,False
793,46,False
1035,47,False
1093,98,False
26,73,False
483,101,False
5,61,False
799,58,False
999,100,False
1139,59,False
196,88,False
25,70,False
252,36,False
897,93,False
468,26,False
539,53,False
264,93,False
917,93,False
384,93,False
458,49,False
687,90,False
154,90,False
161,89,False
168,29,False
551,101,False
558,100,False
144,88,False
894,94,False
958,94,False
374,42,False
164,88,False
561,99,False
801,93,False
572,43,False
581,8,False
1044,23,False
701,9,False
762,89,False
804,92,False
378,54,False
455,101,False
808,34,False
1064,23,False
519,101,False
821,10,False
707,21,False
585,20,False
513,40,False
765,88,False
92,88,False
692,45,False
776,57,False
112,38,False
608,87,False
1027,23,False
812,46,False
1068,35,False
889,93,False
222,8,False
791,34,False
626,21,False
492,98,False
279,96,False
318,51,False
911,34,False
795,95,False
348,29,False
696,57,False
916,58,False
1018,59,False
244,12,False
419,56,False
675,45,False
315,39,False
543,101,False
550,100,False
693,88,False
617,57,False
1066,99,False
136,88,False
795,46,False
533,99,False
130,27,False
60,88,False
1110,99,False
352,41,False
160,5,False
248,24,False
696,87,False
319,51,False
819,95,False
134,39,False
754,89,False
564,19,False
157,52,False
357,94,False
127,91,False
661,88,False
84,88,False
275,37,False
83,1,False
720,9,False
600,87,False
997,98,False
568,31,False
251,96,False
1124,97,False
1062,11,False
484,98,False
926,22,False
583,8,False
54,78,False
175,41,False
261,94,False
690,33,False
745,21,False
110,26,False
703,9,False
685,88,False
1082,99,False
1066,23,False
288,93,False
75,91,False
1121,11,False
930,34,False
108,26,False
352,93,False
98,49,True
85,89,True
179,53,False
1037,59,False
694,45,False
749,33,False
432,98,False
688,87,False
1071,35,False
1085,98,False
521,5,False
1092,97,False
114,38,False
1107,23,False
1112,47,False
862,94,False
329,94,False
985,23,False
992,97,False
955,46,False
613,45,False
991,35,False
1075,47,False
1050,99,False
153,89,True
256,93,False
444,13,False
619,57,False
959,58,False
61,0,False
947,95,False
423,101,False
418,56,False
360,6,False
950,94,False
11,65,False
793,93,False
194,90,False
857,93,False
324,93,False
566,19,False
280,93,False
101,89,False
1064,97,False
16,68,False
454,100,False
570,31,False
1000,11,False
321,94,False
984,97,False
106,14,False
628,33,False
884,22,False
392,43,False
881,93,False
748,33,False
641,9,False
304,15,False
727,21,False
375,42,False
658,89,False
152,88,True
125,89,False
1004,23,False
732,45,False
788,92,False
596,56,False
189,89,False
983,11,False
198,54,False
939,95,False
847,22,False
510,28,False
1103,11,False
10,63,False
422,0,False
