source,destination
4,55
7,72
0,5
8,82
3,40
1,15
6,66
4,48
7,74
10,91
2,32
0,7
3,42
1,17
6,68
4,50
2,25
7,76
10,93
2,34
5,60
0,0
0,9
9,85
3,44
6,70
1,19
4,52
2,27
7,78
5,62
0,2
3,37
1,12
1,21
4,54
2,29
11,96
1,14
6,65
8,84
1,23
7,73
10,90
2,31
11,98
5,57
1,16
7,75
2,24
10,92
2,33
5,59
0,11
1,18
9,87
3,46
2,26
10,94
2,35
5,61
0,4
8,81
1,20
3,39
9,89
2,28
11,95
5,63
0,6
1,13
8,83
3,41
6,67
2,30
4,49
11,97
5,56
0,8
3,47
3,43
6,69
4,51
11,99
5,58
7,77
0,1
0,10
3,36
9,86
3,45
6,71
4,53
7,79
0,3
8,80
3,38
9,88
6,64
1,22
