source,destination,label
1059,35,False
492,13,False
898,92,False
372,91,False
299,89,False
962,92,False
436,91,False
223,89,False
742,45,False
333,87,False
474,0,False
1063,47,False
418,28,True
1076,95,False
200,81,False
856,10,False
973,91,False
157,16,False
640,80,False
763,9,False
291,89,False
847,21,False
946,34,False
460,91,False
247,89,False
925,22,False
611,32,False
507,99,False
763,88,False
230,88,False
893,91,False
900,90,False
217,0,False
767,21,False
579,30,False
191,84,False
198,83,False
929,34,False
615,44,False
908,22,False
273,27,False
941,91,False
664,80,False
815,21,False
650,8,False
831,88,False
838,87,False
305,87,False
968,90,False
80,79,False
315,6,False
912,34,False
595,99,False
851,88,False
325,87,False
277,39,False
84,74,False
95,84,False
413,16,False
502,98,False
283,4,False
758,87,False
232,86,False
633,8,False
449,30,False
319,18,False
419,94,True
890,10,False
965,91,False
735,88,False
54,64,False
485,97,False
799,88,False
273,87,False
959,22,False
544,28,False
769,86,False
833,86,False
529,27,False
1059,98,False
526,98,False
603,83,False
590,98,False
320,86,False
59,68,True
565,41,False
153,4,False
93,12,False
623,83,False
858,10,False
90,83,False
97,82,False
883,93,True
533,39,False
121,2,False
823,88,False
830,87,False
297,87,False
960,90,False
248,2,False
737,86,False
233,1,False
3,48,True
192,30,False
764,85,False
102,36,False
691,83,False
269,15,False
740,85,False
990,97,False
391,94,False
121,82,False
528,96,False
237,13,False
196,42,False
896,34,False
980,46,False
364,13,False
695,83,False
739,33,False
409,4,False
825,86,False
292,86,False
349,12,False
1065,96,False
466,93,False
722,82,False
732,85,False
263,38,False
76,72,False
900,46,False
465,31,False
743,45,False
1036,23,False
875,93,True
1068,95,False
527,15,False
116,81,False
475,0,False
489,1,False
600,8,False
684,20,False
632,80,False
525,15,False
469,43,False
1040,35,False
618,8,True
756,85,False
690,82,False
157,82,False
493,13,False
887,46,True
926,22,False
673,81,False
169,5,False
943,93,False
33,57,False
933,91,False
190,18,False
400,91,False
930,34,False
173,17,False
909,22,False
1057,96,False
458,93,False
714,82,False
235,1,False
194,30,False
285,16,False
891,93,False
621,81,False
88,81,False
1060,95,False
881,91,True
892,22,False
262,88,False
275,89,False
634,8,False
289,28,False
884,90,True
334,19,False
864,90,False
265,87,False
425,5,False
725,44,False
928,90,False
1053,23,False
1032,11,False
915,93,False
389,92,False
323,89,False
1096,11,False
446,18,False
468,43,False
453,92,False
429,17,False
506,2,False
1017,11,False
925,91,False
491,1,False
2,51,False
686,20,False
450,30,False
541,16,False
665,8,False
483,99,False
952,90,False
999,98,False
1021,23,False
577,30,False
473,97,False
729,86,False
1000,11,False
260,86,False
55,65,False
545,28,False
254,88,False
648,8,False
1004,23,False
814,87,False
154,4,False
215,84,False
856,90,False
257,87,False
920,90,False
204,19,False
1023,98,False
773,45,False
281,4,False
837,45,False
561,97,False
87,77,False
249,2,False
60,70,True
342,88,False
1015,47,False
1051,11,False
782,87,False
977,34,False
361,1,False
1098,97,False
663,44,False
765,86,False
991,98,False
427,5,False
146,83,False
618,82,True
122,83,False
585,97,False
62,66,True
1034,11,False
1025,96,False
981,46,False
492,96,False
365,13,False
748,85,False
149,82,False
960,34,False
702,20,False
550,98,False
806,87,False
681,8,False
17,55,True
