source,destination,label
107,495,False
102,734,False
99,72,False
90,1152,False
105,345,False
106,1057,False
70,332,False
17,847,False
104,392,False
110,1236,False
21,125,False
107,970,False
88,478,False
85,387,False
109,540,False
112,1290,False
45,279,False
35,585,False
99,276,False
30,874,False
100,189,False
46,445,False
101,901,False
19,893,False
62,1221,True
79,910,False
76,819,False
21,126,False
88,479,False
23,701,False
93,587,False
39,1239,False
77,202,False
104,384,False
93,1236,False
35,586,False
109,704,False
90,50,False
46,396,False
34,299,False
95,1290,False
96,65,True
101,194,False
95,632,False
102,235,False
22,293,False
12,1157,False
41,1284,False
9,99,False
89,1142,False
102,107,False
103,747,False
81,956,False
88,1117,False
93,58,False
73,99,False
90,525,False
59,594,False
14,990,False
106,430,False
104,464,True
69,117,False
107,942,False
37,1190,False
66,1317,False
76,191,False
53,1074,True
83,1001,False
108,955,False
112,1262,False
92,570,False
97,678,False
36,732,False
11,675,False
23,510,False
113,1191,False
101,274,False
88,1109,False
13,966,False
103,911,False
3,1010,False
32,1137,False
105,481,False
102,786,False
99,124,False
70,334,False
74,775,False
45,252,False
68,1151,False
83,344,False
97,679,False
33,155,False
65,860,False
104,444,False
106,981,False
38,999,False
107,1106,False
111,518,False
28,1043,False
105,956,False
90,506,False
34,321,False
108,1035,False
90,1155,False
68,1364,False
76,830,False
5,1056,False
61,766,False
113,1355,False
28,1256,False
59,616,False
50,785,False
107,315,False
30,1089,False
106,362,False
78,875,False
110,669,False
100,800,False
112,635,False
87,444,False
95,1292,False
98,1355,False
21,79,False
105,1120,False
73,110,False
111,598,False
79,259,True
93,590,False
100,221,False
102,159,False
84,366,False
103,799,False
93,1239,False
30,1090,False
102,846,False
78,218,False
10,411,False
101,721,False
19,1109,False
86,1066,False
95,635,False
105,329,False
23,655,False
106,1041,False
110,1348,False
81,959,False
52,832,False
88,1120,False
47,541,False
71,694,False
107,954,False
44,1142,False
109,524,False
111,1361,False
10,362,False
113,1327,False
82,972,False
83,355,False
80,264,False
97,690,False
99,260,False
97,1339,False
107,1074,True
24,1162,False
107,375,False
71,645,False
100,173,False
14,1206,False
101,885,False
13,1181,False
47,542,False
90,1166,False
110,1300,True
83,1005,True
105,493,False
58,352,False
105,1008,False
9,266,False
110,517,False
85,401,False
36,948,False
95,1274,False
69,284,False
102,219,False
96,657,False
101,94,False
32,1353,False
9,217,False
103,731,False
81,940,False
61,981,False
110,509,True
78,16,False
26,1209,True
106,414,False
15,1015,False
100,852,False
76,833,False
5,1059,False
85,402,False
67,1342,False
108,1067,False
28,1259,False
83,985,False
97,1320,False
112,1246,False
92,554,False
10,384,False
109,584,False
78,229,False
84,368,False
17,1278,False
15,1228,False
78,878,False
5,1272,False
27,801,False
57,258,True
47,564,True
100,145,False
113,1175,False
82,28,False
57,208,False
45,111,False
73,113,False
100,233,False
102,770,False
99,108,False
103,811,False
30,1305,False
52,834,False
75,167,False
104,428,False
110,1272,False
105,940,False
112,543,False
110,1360,False
108,1019,False
112,1326,False
71,572,False
25,752,False
8,1131,False
113,1339,False
77,197,False
88,1123,False
85,1032,False
77,846,False
22,462,False
19,1325,False
8,1344,False
83,358,False
80,267,False
97,693,False
100,784,False
72,81,False
95,1276,False
69,286,False
73,752,False
44,1358,False
45,133,True
22,413,False
111,582,False
90,1169,False
33,248,False
102,271,False
74,7,False
53,856,False
58,355,False
69,287,True
34,464,True
103,783,False
14,773,False
43,900,False
113,1235,False
47,708,False
13,748,False
85,404,False
102,830,False
66,1100,False
95,1277,False
105,313,False
70,428,False
96,660,False
106,1025,False
58,306,False
110,1332,False
81,943,False
45,84,False
88,1104,False
90,512,False
108,1079,False
76,836,False
84,34,True
48,953,False
76,178,False
83,339,False
97,674,False
84,380,False
99,244,False
83,988,False
97,1323,False
102,822,False
61,1197,False
107,359,False
78,232,False
68,934,False
21,222,False
101,869,False
78,881,False
107,1142,False
104,480,False
35,682,False
112,595,False
57,211,False
85,1043,False
46,492,False
94,612,False
34,395,False
21,173,False
112,1154,False
29,1283,False
80,278,False
102,203,False
101,78,False
39,806,False
80,927,False
35,633,False
71,525,False
30,872,False
62,1006,False
106,398,False
110,705,False
100,836,False
107,439,False
21,124,False
76,817,False
22,340,False
52,1050,False
85,386,False
77,200,False
111,718,False
108,1051,False
6,1297,True
93,1234,False
77,849,False
84,1010,False
