index,is_init,is_goal,is_simple_landmark
0,True,False,True
1,False,False,False
2,False,False,True
3,True,False,False
4,False,False,True
5,True,False,False
6,False,False,True
7,True,False,False
8,False,False,True
9,True,False,False
10,True,False,True
11,False,False,False
12,False,False,True
13,True,False,False
14,False,False,True
15,True,False,False
16,False,True,True
17,True,False,False
18,False,False,True
19,True,False,False
20,False,False,True
21,True,False,False
22,False,False,True
23,True,False,False
24,True,False,True
25,False,False,False
26,False,False,True
27,False,False,False
28,True,False,False
29,False,False,False
30,False,False,False
31,False,False,True
32,False,False,False
33,False,False,False
34,False,True,False
35,False,False,False
36,False,False,False
37,False,False,False
38,False,False,False
39,False,False,False
40,False,True,False
41,False,False,True
42,False,False,False
43,False,False,False
44,True,False,False
45,False,False,False
46,False,False,False
47,False,False,False
48,False,False,False
49,False,False,False
50,False,False,False
51,False,False,False
52,False,False,True
53,False,False,False
54,True,True,False
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,False,False,True
61,False,False,False
62,False,False,False
63,False,False,False
64,False,False,False
65,False,False,True
66,False,False,False
67,False,False,False
68,False,False,False
69,False,False,False
70,False,False,False
71,False,True,False
72,False,False,False
73,True,False,False
74,False,False,False
75,False,False,False
76,False,False,False
77,False,False,True
78,False,False,True
79,False,False,False
80,False,False,False
81,False,False,False
82,False,False,False
83,False,False,False
84,False,False,False
85,False,False,False
86,False,False,False
87,False,False,False
88,False,False,True
89,False,True,False
90,True,False,False
91,False,False,True
92,False,False,False
93,False,False,False
94,False,False,False
95,False,False,False
96,False,False,False
97,False,False,False
98,False,False,False
99,False,False,False
100,False,True,True
101,True,False,False
102,False,False,False
103,False,False,False
104,False,False,True
105,False,False,True
106,False,False,False
107,False,True,False
108,False,False,False
109,False,False,False
110,False,False,False
111,False,False,False
112,False,False,False
113,True,False,False
114,False,False,False
115,False,False,False
116,False,False,False
117,False,False,True
118,False,False,False
119,False,False,False
120,False,False,False
121,False,False,False
122,False,False,False
123,False,False,False
124,False,False,False
125,False,False,True
126,False,False,False
127,False,True,False
128,False,False,False
129,True,False,False
130,False,False,True
131,True,False,False
132,False,False,False
133,False,False,False
134,False,False,False
135,False,False,False
136,False,True,False
137,False,False,True
138,False,False,False
139,False,False,False
140,False,False,False
141,False,False,False
142,False,False,False
143,False,False,True
144,False,False,False
145,False,False,False
146,False,False,False
147,False,False,True
148,False,True,False
149,False,False,False
150,False,False,False
151,True,False,False
152,False,False,False
153,False,False,False
154,False,False,False
155,False,False,False
156,False,False,True
157,False,False,False
158,False,False,False
159,False,False,False
160,False,True,False
161,False,False,False
162,False,False,False
163,True,False,False
164,False,False,False
165,False,False,False
166,False,False,False
167,False,False,False
168,False,False,True
169,False,False,True
170,False,False,False
171,False,False,False
172,False,False,False
173,True,False,False
174,False,False,False
175,False,False,False
176,False,False,False
177,False,False,False
178,False,False,False
179,False,False,False
180,False,False,False
181,False,True,False
