source,destination,label
242,1,True
41,46,False
286,1,False
72,15,False
328,4,False
12,210,False
171,3,False
210,30,False
153,20,False
34,2,True
225,1,True
264,90,False
327,2,False
14,44,True
54,61,False
349,180,False
366,210,False
208,0,True
81,10,False
262,90,False
299,120,True
312,17,False
45,13,True
267,14,False
169,192,False
261,28,False
173,0,False
334,21,False
51,25,True
381,29,False
207,23,True
114,21,False
57,11,False
115,0,True
191,218,False
207,236,True
385,225,True
101,12,False
35,38,True
124,141,False
278,1,False
123,16,False
246,24,True
141,0,True
121,0,False
271,90,False
241,1,False
376,27,False
8,19,True
243,18,True
220,30,True
282,13,False
152,173,False
285,105,False
104,0,False
346,1,False
291,8,True
357,195,False
134,7,True
89,100,False
337,165,False
354,195,False
83,9,True
329,1,False
391,29,True
187,26,False
146,5,False
227,1,True
122,139,False
93,12,False
148,0,False
231,5,False
177,24,False
83,10,True
229,5,False
255,75,False
312,1,False
55,0,True
175,0,True
336,21,False
309,135,False
326,19,True
358,25,False
251,1,True
140,0,False
202,28,True
353,2,False
338,26,False
378,1,True
275,105,False
384,12,True
71,13,True
216,1,False
225,45,True
287,28,False
59,0,False
46,15,False
273,90,False
123,0,False
130,27,False
384,225,True
227,12,True
115,14,True
147,20,False
285,13,False
219,1,True
340,23,False
43,4,True
72,81,False
106,0,False
16,6,True
334,16,False
304,1,False
291,120,True
328,21,False
367,1,False
113,19,True
356,195,False
94,107,False
82,10,False
181,23,False
45,0,True
124,13,False
267,1,False
194,221,False
223,2,False
130,0,False
211,30,False
349,23,False
77,86,True
154,20,False
317,8,True
218,20,False
250,1,False
19,119,False
263,11,False
335,1,False
246,60,True
113,0,True
176,24,False
238,8,True
320,150,True
376,22,False
253,9,False
15,4,True
235,1,False
263,90,False
385,29,True
214,30,True
166,19,False
91,10,False
383,225,False
261,75,False
276,1,False
98,0,False
169,27,False
256,9,True
265,8,False
218,1,False
17,0,True
227,45,True
108,7,False
131,148,False
196,26,False
268,16,False
102,12,False
139,17,False
44,49,False
145,166,True
295,15,False
124,16,False
386,1,False
166,0,False
373,16,False
64,0,True
44,0,False
223,5,False
238,60,True
298,15,True
315,4,False
369,1,False
147,168,False
149,0,False
250,4,False
320,19,True
264,6,False
310,22,False
269,1,False
59,6,False
167,22,False
106,14,False
234,45,True
319,150,False
199,228,False
114,129,False
352,1,False
132,0,False
102,23,False
138,15,True
358,12,False
373,210,False
156,20,False
201,11,False
53,0,False
203,28,True
265,11,False
371,210,False
373,27,False
230,5,True
178,24,False
71,0,True
357,10,False
135,0,True
265,90,False
142,161,True
234,26,True
306,12,False
249,2,False
36,0,False
295,18,False
147,7,False
59,66,False
13,225,True
0,3,True
120,137,False
384,29,True
361,1,False
87,19,False
343,180,False
204,0,False
19,0,False
97,110,False
160,22,False
15,59,True
344,1,True
41,4,False
124,0,False
29,32,False
116,14,True
319,19,False
207,0,True
197,3,False
341,23,False
87,0,False
307,135,False
294,16,False
212,8,False
190,217,False
151,0,False
22,164,True
169,22,False
20,14,True
344,23,True
157,178,False
70,0,False
278,13,False
119,136,False
221,3,False
324,24,True
242,16,True
73,8,False
341,4,False
335,18,False
318,150,False
179,204,False
383,29,False
116,25,True
336,22,False
316,1,False
96,0,False
289,15,False
170,22,True
76,8,True
365,25,False
56,9,True
79,0,False
282,105,False
320,14,True
343,1,False
206,0,False
140,159,False
383,10,False
377,24,False
137,18,False
258,22,True
163,13,False
326,1,True
302,1,True
62,0,False
302,135,True
159,22,False
118,14,True
236,7,False
189,0,False
387,1,False
254,75,False
45,50,True
298,120,True
110,125,False
1,1,True
230,1,True
314,150,True
172,0,False
179,24,False
205,19,False
162,185,False
85,10,False
10,1,False
283,20,False
201,28,False
107,14,False
364,195,True
157,29,False
99,112,False
200,229,True
4,11,True
333,165,False
205,0,False
32,35,False
181,0,False
330,8,False
4,90,True
283,1,False
93,106,False
202,13,True
145,3,True
367,4,False
361,18,False
143,162,True
12,27,False
345,1,False
6,120,True
204,17,False
142,25,True
287,13,False
189,216,False
342,1,False
60,67,False
266,1,False
139,18,False
309,17,False
0,1,True
161,22,False
205,234,False
35,2,True
216,16,False
82,93,False
93,3,False
3,9,True
249,1,False
134,153,True
245,60,True
90,25,False
232,1,True
98,12,False
