source,destination
21,126
18,72
26,204
15,30
4,9
24,161
17,58
16,38
24,170
16,47
5,10
12,25
25,178
20,102
19,82
25,187
30,256
20,111
11,23
30,265
29,242
21,119
18,65
29,251
13,26
26,197
18,74
26,206
17,51
24,163
17,60
3,6
16,40
22,138
24,172
25,180
2,4
9,19
20,104
23,155
25,189
30,258
30,267
21,112
10,20
28,224
21,121
6,13
18,67
29,244
26,199
29,253
18,76
17,53
16,33
22,131
17,62
16,42
24,165
22,140
0,0
20,97
23,148
25,182
20,106
23,157
30,260
30,269
21,114
29,246
26,192
21,123
18,69
7,14
26,201
27,221
18,78
29,255
17,55
16,35
22,133
28,238
22,142
20,99
14,28
23,150
20,108
1,3
23,159
30,262
21,116
27,214
26,194
19,91
18,71
21,125
27,223
26,203
29,248
17,48
24,160
17,57
28,231
22,135
12,24
25,177
20,101
23,152
29,241
19,84
18,64
21,118
27,216
26,196
19,93
18,73
29,250
26,205
17,50
22,128
17,59
28,233
22,137
5,11
23,145
20,103
23,154
24,174
30,257
27,209
29,243
19,86
18,66
25,191
27,218
26,198
19,95
18,75
28,226
17,52
22,130
17,61
3,7
28,235
22,139
20,96
23,147
16,44
24,167
23,156
21,113
25,184
10,21
27,211
19,88
18,68
27,220
26,200
30,271
28,228
17,54
22,132
28,237
4,8
22,141
16,37
24,169
23,149
16,46
1,2
23,158
8,17
19,81
25,186
27,213
20,110
11,22
19,90
26,193
27,222
30,264
28,230
17,56
21,127
22,134
15,31
28,239
22,143
24,162
16,39
24,171
23,151
25,179
9,18
19,83
25,188
27,215
30,266
19,92
28,229
17,49
6,12
21,120
29,252
13,27
28,232
22,136
26,207
16,32
24,164
23,144
16,41
24,173
23,153
25,181
2,5
27,208
20,105
19,85
25,190
30,259
27,217
30,268
19,94
29,245
28,225
21,122
29,254
22,129
28,234
18,77
16,34
24,166
17,63
16,43
23,146
24,175
0,1
20,98
25,183
27,210
20,107
19,87
30,261
27,219
30,270
21,115
29,247
28,227
21,124
18,70
7,15
26,202
28,236
18,79
16,36
24,168
16,45
25,176
8,16
20,100
14,29
19,80
25,185
27,212
20,109
19,89
30,263
29,240
21,117
29,249
26,195
