index,is_init,is_goal,is_simple_landmark
0,False,False,False
1,True,False,False
2,False,False,False
3,True,False,False
4,False,False,False
5,True,False,False
6,False,False,False
7,True,False,False
8,False,False,False
9,True,False,False
10,False,False,False
11,True,False,False
12,False,False,False
13,True,False,False
14,False,False,False
15,True,False,False
16,False,False,False
17,True,False,False
18,False,False,False
19,True,False,False
20,False,False,False
21,True,False,False
22,False,False,False
23,True,False,False
24,False,False,False
25,True,False,False
26,False,True,False
27,True,False,False
28,False,False,False
29,True,False,False
30,False,False,False
31,True,False,False
32,False,False,False
33,True,False,False
34,False,False,False
35,True,False,False
36,False,False,False
37,True,False,False
38,False,False,False
39,False,False,False
40,True,False,False
41,False,False,False
42,False,False,False
43,False,False,False
44,True,False,False
45,False,True,False
46,False,False,False
47,False,False,False
48,False,False,False
49,False,False,False
50,False,False,False
51,False,False,False
52,True,False,False
53,False,False,False
54,False,False,False
55,False,False,False
56,False,False,False
57,False,False,False
58,False,False,False
59,False,False,False
60,True,False,False
61,False,True,False
62,True,False,False
63,False,False,False
64,True,False,False
65,False,False,False
66,True,False,False
67,False,False,False
68,True,False,False
69,False,False,False
70,False,False,False
71,True,False,False
72,False,False,False
73,True,False,False
74,False,False,False
75,True,False,False
76,False,False,False
77,True,False,False
78,False,False,False
79,True,False,False
80,False,False,False
81,True,False,False
82,False,False,False
83,True,False,False
